N	2gram	Vygotskiy_	Otkroven
1	у него	4	22
2	и в	55	19
3	но и	12	13
4	и не	24	13
5	в этом	21	12
6	не только	25	11
7	не в	19	11
8	а не	18	11
9	может быть	35	11
10	и все	8	10
11	человека и	3	10
12	в нем	5	10
13	вопрос о	3	10
14	никогда не	13	9
15	в самой	2	9
16	потому что	27	9
17	не было	5	9
18	прежде всего	5	9
19	в его	8	7
20	до конца	9	7
21	от него	2	7
22	он не	8	7
23	но он	3	7
24	как и	25	6
25	все это	11	6
26	а в	10	5
27	в том	55	5
28	о его	2	5
29	него в	2	5
30	в творчестве	5	5
31	в самом	18	5
32	то что	47	5
33	в этой	5	5
34	отношение к	3	5
35	и его	14	4
36	что в	39	4
37	того чтобы	13	4
38	все эти	7	4
39	т е	3	4
40	не может	30	4
41	все в	2	4
42	что не	2	4
43	с его	3	4
44	в себе	6	3
45	и от	4	3
46	о том	11	3
47	к нему	3	3
48	не могут	6	3
49	что он	17	3
50	и вот	5	3
51	было бы	14	3
52	различие между	5	3
53	для того	12	3
54	еще не	2	3
55	и есть	5	3
56	все что	4	3
57	в этих	6	3
58	в своих	12	3
59	когда он	11	3
60	и ее	4	3
61	как бы	11	3
62	хотя бы	4	3
63	могут быть	15	3
64	с ним	2	3
65	быть может	2	3
66	мысли и	2	3
67	того что	15	3
68	как к	2	2
69	одно из	2	2
70	и то	4	2
71	сказать что	12	2
72	можно ли	2	2
73	и на	6	2
74	этом он	2	2
75	с тем	11	2
76	уже в	3	2
77	что же	4	2
78	и для	9	2
79	совсем не	3	2
80	и там	2	2
81	что все	10	2
82	ничего кроме	2	2
83	не имеет	3	2
84	не могли	4	2
85	ничего не	4	2
86	и с	5	2
87	что и	27	2
88	и потому	2	2
89	в ее	7	2
90	в других	3	2
91	в своем	3	2
92	тем что	7	2
93	но в	5	2
94	том что	30	2
95	к этой	2	2
96	что для	5	2
97	все же	9	2
98	искать не	2	2
99	в своей	6	2
100	он в	2	2
101	так как	28	2
102	по себе	21	2
103	что у	8	2
104	что они	7	2
105	так что	8	2
106	должно быть	2	2
107	и о	4	2
108	не есть	4	2
109	и нет	2	2
110	к этому	5	2
111	и к	5	2
112	так и	6	2
113	и очень	2	2
114	в которой	6	2
115	хотя и	3	2
116	его не	3	2
117	и из	7	2
118	что есть	3	2
119	ни у	2	2
120	подойти к	2	2
121	при чтении	2	2
122	чем в	2	2
123	его в	3	2
