N	2gram	Tiupa_Hudo	NovoeSre
1	а не	23	17
2	и в	34	16
3	не может	10	16
4	и не	15	11
5	что в	8	9
6	жизни и	10	8
7	в том	24	8
8	он не	8	8
9	может быть	12	7
10	как и	16	7
11	в этом	22	7
12	никогда не	8	6
13	лишь в	5	6
14	ни в	5	6
15	не в	16	6
16	высшей степени	2	6
17	не знает	2	6
18	но это	2	6
19	с его	9	6
20	не только	22	5
21	в жизни	9	5
22	все это	2	5
23	в нем	5	5
24	с ее	7	5
25	в ней	6	5
26	и к	6	5
27	не во	3	4
28	должно быть	2	4
29	по своему	3	4
30	в них	3	4
31	и для	5	4
32	не имеет	2	4
33	прежде всего	12	4
34	не менее	9	4
35	не было	8	4
36	и потому	3	4
37	то что	13	4
38	о том	21	4
39	это не	12	4
40	потому что	7	4
41	и все	10	4
42	быть может	7	4
43	в мире	10	3
44	тому как	4	3
45	но и	13	3
46	к жизни	6	3
47	подобно тому	4	3
48	с другой	4	3
49	в ее	16	3
50	она не	6	3
51	к тому	11	3
52	жизни в	12	3
53	в своей	15	3
54	еще не	10	3
55	жизни не	2	3
56	человека и	4	3
57	как в	11	3
58	в духе	6	3
59	сказать что	3	3
60	во всех	2	3
61	вопрос о	2	3
62	это было	2	3
63	наряду с	4	3
64	не означает	2	3
65	в основе	3	3
66	в себе	19	2
67	что она	10	2
68	как будто	7	2
69	все они	2	2
70	и с	10	2
71	одна из	4	2
72	том чтобы	2	2
73	себя в	11	2
74	но не	7	2
75	нет и	2	2
76	и т.п	2	2
77	что все	3	2
78	и от	6	2
79	возвращается к	3	2
80	роль в	2	2
81	того чтобы	6	2
82	и это	7	2
83	хотя бы	2	2
84	когда мы	2	2
85	же как	4	2
86	а в	11	2
87	все время	2	2
88	но в	6	2
89	том что	31	2
90	мысли в	2	2
91	можно назвать	2	2
92	и на	6	2
93	с этим	3	2
94	и что	3	2
95	все эти	4	2
96	мы не	2	2
97	и было	2	2
98	не имеют	3	2
99	можно было	6	2
100	в свои	2	2
101	это и	2	2
102	каждого человека	3	2
103	ни одна	2	2
104	у него	13	2
105	времени и	2	2
106	уже не	12	2
107	как это	8	2
108	так же	3	2
109	так и	19	2
110	ни к	2	2
111	личность в	4	2
112	такого рода	4	2
113	жизни как	7	2
114	одной стороны	4	2
115	такой же	3	2
116	обращение к	2	2
117	в то	12	2
118	который в	2	2
119	не могла	4	2
120	хотя и	3	2
121	мысли и	2	2
122	с одной	4	2
123	духовной жизни	2	2
124	место в	3	2
125	и даже	4	2
126	в центре	4	2
127	вместе с	2	2
128	я не	8	2
