N	3gram	Bakhtin_Pr	Myshleni
1	в том что	6	133
2	с точки зрения	21	89
3	по отношению к	12	42
4	друг с другом	3	35
5	в этом отношении	3	30
6	можно было бы	3	28
7	с другой стороны	6	26
8	о том что	2	25
9	на то что	2	25
10	не может быть	8	23
11	в то время	2	22
12	в зависимости от	5	22
13	можно сказать что	2	21
14	не только не	2	21
15	то время как	2	20
16	в самом деле	6	19
17	в отличие от	4	18
18	во всяком случае	4	18
19	в этом смысле	12	18
20	этой точки зрения	2	17
21	до сих пор	9	17
22	же как и	2	17
23	в данном случае	2	15
24	на этот вопрос	2	14
25	мы уже говорили	3	14
26	подобно тому как	3	14
27	тем не менее	2	12
28	как мы уже	2	11
29	друг на друга	2	10
30	на самом деле	4	9
31	сама по себе	5	9
32	само по себе	4	9
33	более или менее	4	9
34	том что он	5	9
35	как и в	3	9
36	сам по себе	2	8
37	в лучшем случае	2	6
38	именно потому что	2	6
39	и не может	6	6
40	в том и	2	6
41	только то что	2	6
42	в конце концов	7	5
43	но все же	3	5
44	в то же	13	5
45	того и другого	2	5
46	и в этом	5	5
47	как если бы	3	5
48	в той же	3	5
49	сами по себе	4	5
50	как мы увидим	3	5
51	не только в	2	5
52	как и все	4	4
53	лежащие в основе	2	4
54	между тем как	5	4
55	так и в	2	4
56	то же что	3	4
57	таким образом и	2	4
58	в себе и	2	4
59	бы то ни	3	3
60	то ни было	2	3
61	перед нами в	2	3
62	по ту сторону	2	3
63	оно может быть	2	3
64	но и не	2	3
65	как раз и	5	3
66	но при этом	2	3
67	к тому же	2	3
68	в настоящее время	3	3
69	а следовательно и	2	3
70	хотя бы и	3	3
71	а не как	5	3
72	то же время	13	3
73	в целом ряде	2	3
74	в результате такого	2	2
75	потому что она	3	2
76	все же не	3	2
77	в одном из	2	2
78	только в этой	2	2
79	не входит в	4	2
80	в этих случаях	2	2
81	что может быть	3	2
82	как бы в	6	2
83	в большинстве случаев	10	2
84	никогда не может	2	2
85	и до конца	2	2
86	в одном слове	3	2
87	в их основе	2	2
88	таким образом все	2	2
89	что она не	3	2
90	дело идет о	4	2
