N	2gram	Ircho_Kome	EvropaiE
1	и в	37	37
2	в отношении	4	32
3	в пределах	3	25
4	точки зрения	8	23
5	что в	11	21
6	не только	13	18
7	с точки	6	17
8	в то	14	16
9	хотя бы	5	15
10	то же	14	15
11	в своем	9	14
12	но в	7	14
13	но и	18	14
14	и не	28	14
15	же время	12	14
16	в качестве	4	14
17	в этом	18	12
18	в том	24	11
19	в их	5	11
20	в области	3	11
21	так и	4	10
22	т е	18	9
23	так же	8	9
24	в смысле	2	9
25	не может	9	9
26	отнюдь не	5	9
27	в себе	4	9
28	прежде всего	7	9
29	только в	3	9
30	одной стороны	4	8
31	между тем	6	8
32	в ее	3	8
33	было бы	7	8
34	в своей	6	8
35	с одной	5	8
36	к тому	11	8
37	по своему	3	7
38	с другой	5	7
39	а также	3	7
40	как и	10	7
41	так как	16	7
42	том что	22	6
43	в последние	2	6
44	во всех	4	6
45	и даже	6	6
46	может быть	14	6
47	и на	6	6
48	стороны и	4	6
49	с этой	5	6
50	того чтобы	9	6
51	для того	9	6
52	на то	3	6
53	то что	5	6
54	как бы	7	6
55	вовсе не	6	6
56	но не	9	5
57	и по	3	5
58	и потому	2	5
59	столь же	5	5
60	но если	3	5
61	в той	2	5
62	как мы	6	5
63	со стороны	16	5
64	не в	7	5
65	в частности	4	5
66	в течение	3	5
67	одной из	4	5
68	даже в	3	4
69	сказать что	4	4
70	вопрос о	2	4
71	не имеет	6	4
72	независимо от	4	4
73	в самом	17	4
74	мы не	6	4
75	в ней	7	4
76	для нас	7	4
77	несмотря на	7	4
78	тем более	9	4
79	к ней	9	4
80	ни было	3	4
81	не на	3	4
82	как это	5	4
83	то ни	4	4
84	бы то	3	4
85	чем в	5	4
86	никогда не	5	3
87	с тем	6	3
88	и от	3	3
89	и для	7	3
90	можно считать	2	3
91	из всех	3	3
92	о том	21	3
93	к ним	5	3
94	идет о	3	3
95	всего лишь	2	3
96	того же	9	3
97	в которых	7	3
98	в остальном	4	3
99	когда он	5	3
100	можно было	3	3
101	в свою	12	3
102	и к	4	3
103	в результате	2	3
104	мы можем	7	3
105	от них	2	3
106	не будет	2	3
107	из них	11	3
108	в них	6	3
109	всяком случае	3	3
110	на себя	10	3
111	что и	12	3
112	друг с	3	3
113	во второй	2	3
114	и мы	5	3
115	и тем	4	3
116	является ли	3	3
117	не дает	5	3
118	тем что	12	3
119	говорит о	2	3
120	этом отношении	2	3
121	не является	5	3
122	обстоит дело	3	3
123	на долю	4	3
124	потому что	19	3
125	себе не	2	3
126	в таком	2	3
127	и со	2	3
128	себе в	6	3
129	представляет собой	5	3
130	с другом	3	3
131	как в	4	3
132	в известной	3	3
133	во всяком	3	3
134	известной степени	2	3
135	именно потому	2	2
136	для понимания	3	2
137	и если	3	2
138	представление о	2	2
139	в мире	2	2
140	на этот	6	2
141	если в	4	2
142	в его	12	2
143	на месте	3	2
144	иначе обстоит	3	2
145	что к	4	2
146	к нему	8	2
147	не могут	2	2
148	как же	2	2
149	она не	3	2
150	а в	12	2
151	с этим	5	2
152	из того	3	2
153	с другими	2	2
154	в котором	6	2
155	даже при	2	2
156	его на	5	2
157	далеко не	3	2
158	в своих	4	2
159	и еще	4	2
160	и поэтому	5	2
161	и с	5	2
162	бы в	5	2
163	этот вопрос	2	2
164	в другой	5	2
165	в случае	2	2
166	во втором	2	2
167	могут быть	3	2
168	в развитии	3	2
169	не говоря	2	2
170	другой стороны	2	2
171	но еще	2	2
172	также в	2	2
173	между ними	4	2
174	по своей	2	2
175	в одном	3	2
176	на них	3	2
177	и как	3	2
178	что же	2	2
179	целый ряд	5	2
180	если бы	18	2
181	в этих	2	2
182	в силу	2	2
183	еще более	4	2
184	и теперь	2	2
185	более чем	6	2
186	как не	2	2
187	в других	4	2
188	а не	5	2
189	мы видим	2	2
190	и что	8	2
191	и во	3	2
192	свою очередь	10	2
193	которые они	2	2
194	же в	3	2
195	и все	6	2
196	наряду с	4	2
197	по сравнению	3	2
198	таким образом	16	2
199	в истории	2	2
200	он не	11	2
201	как будто	3	2
202	такой же	2	2
203	на основании	3	2
204	главным образом	2	2
205	сравнению с	3	2
206	и эта	2	2
207	говоря уже	2	2
208	в этой	7	2
209	меньше чем	2	2
210	между собой	5	2
211	хотя и	6	2
212	в какой	4	2
213	должна быть	2	2
214	вместе с	16	2
215	вопрос не	2	2
