N	2gram	Vinokur_St	Vladivir
1	и в	61	116
2	то что	27	71
3	и не	23	67
4	в году	3	65
5	не только	36	65
6	у него	3	65
7	в этом	37	53
8	в том	56	52
9	том что	49	51
10	что в	41	48
11	но и	28	47
12	в конце	5	41
13	в его	19	40
14	и с	6	39
15	то есть	2	37
16	сказать что	9	36
17	и даже	8	36
18	также и	10	36
19	так что	8	35
20	потому что	13	33
21	еще и	5	32
22	что он	23	32
23	не может	10	31
24	о том	30	30
25	только в	11	30
26	никогда не	7	29
27	для него	10	29
28	вовсе не	24	27
29	а в	18	27
30	не было	7	26
31	в то	10	25
32	но в	16	25
33	в себе	3	25
34	и то	6	25
35	а к	2	25
36	и его	11	25
37	даже и	2	24
38	а также	4	24
39	точки зрения	16	23
40	между прочим	10	23
41	может быть	16	23
42	он не	11	23
43	что же	6	23
44	в виде	3	22
45	так как	7	22
46	он был	5	22
47	кроме того	3	22
48	об этом	9	22
49	ни в	5	22
50	в своей	12	21
51	вместе с	5	21
52	а именно	3	20
53	в своем	8	20
54	прежде всего	11	20
55	для нас	7	20
56	и что	8	20
57	и потому	3	19
58	и вообще	5	19
59	так и	15	19
60	не менее	8	19
61	как раз	10	19
62	по поводу	13	19
63	таким образом	16	19
64	в течение	7	19
65	тем не	4	19
66	не в	15	18
67	как это	6	18
68	как и	11	18
69	хотя и	4	18
70	с его	3	18
71	не мог	3	18
72	что и	8	17
73	в этой	13	17
74	то это	3	17
75	у нас	12	17
76	в письме	5	17
77	а не	19	17
78	все же	12	16
79	того что	14	16
80	совсем не	3	16
81	было бы	21	16
82	к тому	9	16
83	и все	3	16
84	для себя	3	16
85	в котором	11	16
86	до конца	4	15
87	письме к	7	15
88	разного рода	2	15
89	но это	9	15
90	к этому	4	15
91	это было	2	15
92	несмотря на	4	15
93	то же	7	15
94	в своих	2	15
95	и к	5	15
96	в москве	4	14
97	того же	4	14
98	уже в	3	14
99	же касается	3	14
100	все эти	7	14
101	его жизни	3	14
102	и как	2	14
103	и на	7	14
104	так же	7	13
105	с тем	3	13
106	можно сказать	2	13
107	да и	4	13
108	и от	2	13
109	что это	5	13
110	в результате	5	13
111	дело в	9	13
112	не просто	2	13
113	жизни и	6	13
114	на этот	5	13
115	то время	2	13
116	есть только	2	12
117	и у	2	12
118	ничего не	6	12
119	в нем	9	12
120	и по	6	12
121	связи с	3	12
122	во всяком	8	12
123	то в	3	12
124	и это	4	12
125	если не	4	12
126	по себе	3	12
