N	2gram	Voloshinov	Tvorches
1	и в	42	56
2	как бы	30	41
3	в его	6	37
4	в то	9	30
5	то же	16	25
6	не только	28	24
7	но в	5	24
8	же время	7	24
9	то есть	5	23
10	и его	7	23
11	и не	14	23
12	а в	5	23
13	как и	12	23
14	в этом	10	22
15	в том	3	21
16	том что	3	19
17	он не	2	19
18	может быть	13	19
19	потому что	7	19
20	то что	9	18
21	что он	2	17
22	все это	4	17
23	и на	7	17
24	таким образом	8	17
25	никогда не	7	16
26	прежде всего	22	16
27	как в	3	16
28	при этом	9	16
29	не может	13	16
30	но и	16	16
31	в этой	6	15
32	с его	8	15
33	но это	2	15
34	в мире	2	15
35	и с	5	15
36	это не	3	14
37	и даже	3	14
38	о том	4	13
39	а не	7	13
40	тем самым	8	12
41	в целом	4	12
42	в котором	3	12
43	все же	9	11
44	в своей	2	11
45	для него	3	11
46	отнюдь не	10	11
47	в конце	6	10
48	не в	6	10
49	так и	7	10
50	уже в	5	10
51	но не	2	10
52	в самом	5	10
53	только в	7	10
54	в свою	6	9
55	в нем	6	9
56	один из	4	9
57	и от	7	9
58	человека в	2	9
59	в своих	2	9
60	в душе	2	9
61	так же	4	8
62	в себе	10	8
63	человека и	2	8
64	в их	2	8
65	одной из	2	8
66	на его	6	8
67	так как	8	8
68	вовсе не	2	8
69	к этому	2	8
70	об этом	3	8
71	еще не	3	8
72	хотя и	3	8
73	вместе с	5	8
74	влияние на	4	7
75	самом деле	5	7
76	в дальнейшем	2	7
77	и он	2	7
78	в которой	7	7
79	в этих	2	7
80	уже не	4	7
81	и сам	2	7
82	его в	4	6
83	ли не	2	6
84	и все	4	6
85	на эту	2	6
86	место в	2	6
87	все эти	3	6
88	если он	3	6
89	хотя бы	18	6
90	и как	10	6
91	если бы	4	6
92	еще более	2	6
93	с ним	2	6
94	бы не	2	5
95	ничего не	8	5
96	до конца	2	5
97	по отношению	2	5
98	но эта	2	5
99	том же	2	5
100	а с	5	5
101	не так	3	5
102	и это	8	5
103	быть может	3	5
104	что и	3	5
105	в ее	3	5
106	мы не	9	5
107	тот же	2	5
108	что это	4	5
109	все время	5	5
110	с этим	2	5
111	в первой	2	5
112	на него	4	5
113	та же	3	5
114	между тем	3	5
115	отношению к	2	5
116	что у	3	5
117	если не	3	5
118	из них	3	5
119	не было	2	5
120	перед нами	3	4
121	и потому	2	4
122	роль в	3	4
123	только на	3	4
124	в частности	3	4
125	как это	5	4
126	не знает	3	4
127	самого начала	4	4
128	того что	4	4
129	к нему	2	4
130	он говорит	2	4
131	точки зрения	11	4
132	ту же	2	4
133	сих пор	2	4
134	однако в	2	4
135	мы видим	4	4
136	было в	4	4
137	в основе	3	4
138	и когда	2	4
139	нет ничего	2	4
140	так сказать	4	4
141	в каждом	4	4
142	себя в	4	4
143	чуть ли	2	4
144	тем что	2	4
145	и наконец	5	4
146	времени и	2	4
147	его и	3	4
148	с самого	4	4
149	не мог	3	4
150	зависит от	2	4
151	с собой	2	4
152	этот вопрос	2	4
153	в которых	2	4
154	представляет собой	2	4
155	на наш	2	4
156	действительной жизни	2	4
157	с точки	5	4
158	той же	7	4
159	не есть	2	3
160	на самом	3	3
161	в процессе	6	3
162	отношение к	2	3
163	друг друга	2	3
164	к которому	2	3
165	в виду	3	3
166	и тем	7	3
167	в области	6	3
168	но что	3	3
169	же самая	2	3
170	как уже	2	3
171	в него	2	3
172	к тому	4	3
173	гораздо более	2	3
174	связь с	2	3
175	в ней	8	3
176	что оно	3	3
177	иными словами	2	3
178	развития в	2	3
179	эти слова	9	3
180	можно сказать	4	3
181	как мы	10	3
182	да и	4	3
183	сказать что	3	3
184	из этих	2	3
185	в начале	3	3
186	и тогда	2	3
187	ни на	3	3
188	важную роль	2	3
189	во второй	3	3
190	я и	2	3
191	кроме того	2	3
192	лишь в	4	3
193	и вот	3	3
194	был бы	2	3
195	не является	5	3
196	для того	9	3
197	и их	5	3
198	у нас	4	3
199	не с	3	3
200	в жизни	2	3
201	на этот	2	3
202	нет и	3	3
203	и к	4	3
204	не существует	4	3
205	несмотря на	3	3
206	жизни и	3	3
207	перед ним	3	3
208	вряд ли	3	3
209	или в	2	3
210	тому же	2	3
211	в одном	4	3
212	в отношении	2	2
213	с генералом	3	2
214	но мы	2	2
215	слова не	2	2
216	но как	2	2
217	о чем	2	2
218	в тех	3	2
219	и поэтому	3	2
220	но даже	2	2
221	по своей	2	2
222	есть не	2	2
223	должен быть	2	2
224	и эту	2	2
225	на эти	2	2
226	в устах	3	2
227	свою очередь	4	2
228	точку зрения	6	2
229	нас не	2	2
230	связано с	2	2
231	теперь же	2	2
232	с тем	8	2
233	тому что	5	2
234	точка зрения	4	2
235	и без	4	2
236	ответ на	3	2
237	между собой	2	2
238	что же	8	2
239	нуждается в	3	2
240	в движении	2	2
241	не будет	3	2
242	для них	2	2
243	ли он	2	2
244	того чтобы	7	2
245	было бы	7	2
246	связи с	3	2
247	в связи	2	2
248	в качестве	4	2
249	заключает в	4	2
250	к миру	2	2
251	здесь мы	3	2
252	и вообще	2	2
253	но при	3	2
254	к достижению	2	2
255	с другими	2	2
256	в нашей	2	2
257	а к	3	2
258	и нет	2	2
259	человек с	2	2
260	во всех	6	2
261	о своем	3	2
262	с самим	2	2
263	не нужно	2	2
264	в беседе	2	2
265	но ведь	6	2
266	и вследствие	2	2
267	ни к	2	2
268	человеческой истории	2	2
269	чаще всего	3	2
270	то он	3	2
271	человека с	2	2
272	и является	5	2
273	и здесь	3	2
274	их в	3	2
275	но для	3	2
276	не из	2	2
277	и уже	3	2
278	конце концов	3	2
279	или даже	2	2
280	не просто	4	2
281	самое время	2	2
282	не к	4	2
283	мы уже	11	2
284	ясно что	2	2
