N	3gram	Tiupa_Vved	slovoVRo
1	не может быть	6	19
2	в то же	5	18
3	то же время	4	18
4	той или иной	4	15
5	в отличие от	11	14
6	с одной стороны	9	11
7	более или менее	2	9
8	во всяком случае	3	8
9	в значительной степени	2	7
10	с другой стороны	2	6
11	в том что	10	5
12	в этом отношении	7	5
13	не только в	3	5
14	по отношению к	11	5
15	одной стороны и	3	4
16	своего и чужого	2	4
17	с установкой на	2	4
18	а также и	2	4
19	в свою очередь	5	4
20	как мы видели	3	3
21	как и в	2	3
22	в данном случае	15	3
23	о том что	6	2
24	хотя и не	2	2
25	можно было бы	2	2
26	но и в	3	2
27	и чужого слова	2	2
28	тем не менее	3	2
