N	3gram	Berdyaev_M	Problema
1	о том что	3	39
2	в том что	3	37
3	в конце концов	3	23
4	для того чтобы	4	17
5	до сих пор	5	14
6	не что иное	4	14
7	что иное как	4	14
8	как будто бы	2	14
9	это значит что	3	13
10	не может быть	22	12
11	в то время	2	12
12	то время как	2	12
13	есть не что	3	11
14	вместе с тем	5	10
15	не только в	2	10
16	может быть и	2	9
17	потому что он	3	8
18	но и в	4	7
19	это и есть	7	7
20	в том смысле	2	6
21	есть прежде всего	4	6
22	хотя бы и	2	5
23	в чем не	2	5
24	ни в чем	2	5
25	и вместе с	4	4
26	там и здесь	6	4
27	не было бы	5	4
28	также и в	2	4
29	у нас не	2	4
30	друг к другу	6	4
31	подобно тому как	2	4
32	и не было	2	4
33	от того что	4	3
34	после того как	2	3
35	но это не	3	3
36	ни к какому	2	3
37	потому что она	2	3
38	как и в	2	3
39	это не значит	2	3
40	что и в	3	3
41	и никогда не	3	3
42	тем что он	2	3
43	с тем что	3	3
44	по сравнению с	2	3
45	а не только	3	2
46	по отношению к	4	2
47	к учению о	2	2
48	и там и	6	2
49	одной и той	2	2
50	а не в	4	2
51	что он не	3	2
52	и в самом	3	2
53	как и во	2	2
54	и во всем	2	2
55	для этого необходимо	2	2
56	но также и	2	2
57	и не может	2	2
58	с самим собою	2	2
59	никогда не может	2	2
60	то нет и	3	2
61	не может не	2	2
62	между тем как	2	2
63	и той же	2	2
64	в братьях карамазовых	5	2
65	в себе и	2	2
66	в нем не	2	2
