N	2gram	Tiupa_Hudo	Myslijsy
1	потому что	7	182
2	и в	34	121
3	может быть	12	107
4	в том	24	103
5	то что	13	83
6	для нас	4	75
7	что в	8	73
8	и не	15	73
9	только в	8	72
10	т с	5	71
11	не только	22	67
12	а не	23	67
13	том что	31	59
14	так как	2	59
15	в этом	22	59
16	но и	13	59
17	то же	14	56
18	не в	16	54
19	если бы	7	53
20	в себе	19	53
21	не может	10	52
22	по себе	3	52
23	того что	5	47
24	в душе	6	45
25	в нем	5	45
26	было бы	8	45
27	как и	16	42
28	так что	3	39
29	вместе с	2	39
30	мы не	2	38
31	что и	3	38
32	так и	19	37
33	при этом	21	37
34	как в	11	37
35	тем что	6	33
36	и что	3	32
37	по отношению	15	30
38	а в	11	30
39	но не	7	29
40	что не	4	29
41	между тем	14	29
42	вовсе не	2	28
43	для него	15	28
44	с этим	3	27
45	и т	15	26
46	то и	5	26
47	не было	8	26
48	отношению к	15	26
49	в то	12	24
50	как бы	11	23
51	но в	6	22
52	не имеет	2	22
53	с другой	4	22
54	и потому	3	21
55	не менее	9	21
56	в ней	6	20
57	в одном	3	20
58	это не	12	20
59	мысль о	2	20
60	тем самым	2	19
61	заключает в	2	19
62	мысли и	2	19
63	с ним	6	19
64	и то	2	19
65	сказать что	3	19
66	что это	2	19
67	из этих	3	19
68	но это	2	19
69	должно быть	2	19
70	тем не	7	19
71	о том	21	19
72	для того	3	18
73	еще не	10	18
74	в человеке	5	18
75	там же	2	18
76	тогда как	10	18
77	по поводу	3	18
78	бы не	3	18
79	в самом	7	18
80	что я	4	18
81	в таком	3	18
82	заметить что	2	17
83	в его	17	17
84	со стороны	6	17
85	точки зрения	7	17
86	уже в	2	17
87	слова в	2	17
88	в своем	9	16
89	к тому	11	16
90	а только	4	16
91	в которой	2	16
92	только что	4	16
93	так же	3	16
94	в них	3	16
95	на то	4	16
96	и на	6	16
97	и по	3	15
98	т д	5	15
99	в этих	7	15
100	с одной	4	15
101	тому как	4	15
102	в ряду	3	15
103	и тем	2	15
104	что он	14	15
105	прежде всего	12	15
106	быть может	7	15
107	с другими	2	15
108	уже не	12	15
109	в действительности	5	14
110	связи с	4	14
111	там где	2	14
112	то в	6	14
113	мысли в	2	14
114	так сказать	3	14
115	столь же	6	14
116	в котором	5	14
117	все же	5	14
118	когда мы	2	14
119	во всех	2	14
120	же время	11	14
121	что все	3	13
122	и все	10	13
123	не следует	2	13
124	т п	10	13
125	например в	3	13
126	а между	4	13
127	из них	5	13
128	и его	8	13
129	как на	2	13
130	никогда не	8	12
131	от него	3	12
132	человека и	4	12
133	друг друга	5	12
134	одно из	4	12
135	мысли о	3	12
136	что же	4	12
137	что на	4	12
138	все это	2	12
139	как мы	5	12
140	сих пор	3	12
141	быть только	2	12
142	только потому	2	12
143	хотя и	3	12
144	до сих	3	12
145	в силу	2	11
146	той же	3	11
147	того чтобы	6	11
148	в первом	2	11
