N	3gram	Vygotskiy_	VeschiIm
1	и т д	6	38
2	это значит что	2	25
3	не может быть	3	24
4	в том что	20	9
5	в самом деле	29	7
6	на то что	16	7
7	то и другое	3	6
8	ни в каком	2	6
9	с точки зрения	11	6
10	одно и то	3	5
11	и то же	3	5
12	в свою очередь	3	5
13	и то что	3	5
14	с этой точки	2	4
15	не только не	3	4
16	потому что они	2	4
17	то время как	3	4
18	этой точки зрения	2	4
19	сам по себе	2	4
20	о том как	3	4
21	о том что	8	4
22	в то время	4	4
23	что в ней	3	4
24	это и есть	2	4
25	мы не можем	2	3
26	что это есть	2	3
27	то что мы	3	3
28	можно было бы	6	3
29	вместе с тем	3	3
30	заключается в том	10	3
31	с одной стороны	6	3
32	только то что	3	3
33	с другой стороны	5	3
34	она не может	2	3
35	указывает на то	4	3
36	сами по себе	3	3
37	мы видели что	2	3
38	все то что	13	2
39	как бы его	2	2
40	так как мы	2	2
41	во всяком случае	6	2
42	и что она	2	2
43	и в конце	2	2
44	для того чтобы	17	2
45	том что он	3	2
46	к тому что	5	2
47	и когда она	2	2
48	то что он	3	2
49	мы видим что	7	2
50	было бы сказать	2	2
51	так же как	2	2
52	не имеет никакого	3	2
53	друг с другом	2	2
54	в данном случае	5	2
55	как раз в	3	2
56	заключается не в	2	2
57	она должна быть	3	2
58	и в этом	6	2
59	в том чтобы	2	2
