N	2gram	Tiupa_Vved	slovoVRo
1	и в	23	92
2	в романе	6	89
3	то есть	13	64
4	в нем	9	59
5	может быть	25	59
6	и его	9	59
7	и не	24	51
8	чужого слова	3	46
9	не только	32	44
10	не может	14	41
11	но и	31	39
12	до конца	5	37
13	в этом	27	36
14	а не	31	34
15	во всех	2	32
16	так и	14	30
17	могут быть	5	29
18	и др	2	29
19	в пределах	3	29
20	в его	9	27
21	слова в	3	26
22	все это	3	25
23	слова и	3	24
24	как бы	8	24
25	то же	8	23
26	и на	5	22
27	не в	12	21
28	в сущности	3	21
29	как в	8	21
30	в то	5	20
31	прежде всего	11	19
32	как мы	5	19
33	или иной	5	18
34	как и	21	18
35	себя в	4	18
36	же время	4	18
37	с ним	3	18
38	все же	10	17
39	оно не	2	17
40	в основе	6	17
41	и даже	3	17
42	таким образом	6	17
43	к своему	2	16
44	отличие от	11	16
45	при этом	43	16
46	в них	4	16
47	но в	14	16
48	той или	5	15
49	и с	2	15
50	в той	5	15
51	в отличие	11	14
52	так сказать	2	14
53	только в	9	14
54	это не	7	13
55	точка зрения	3	13
56	в особенности	3	13
57	и для	8	13
58	с другой	10	13
59	на фоне	3	13
60	в слове	4	13
61	никогда не	6	12
62	и потому	2	12
63	отношение к	5	12
64	а в	15	12
65	или в	3	12
66	во всяком	3	12
67	и наконец	2	12
68	еще не	8	12
69	точек зрения	2	12
70	и к	2	12
71	один из	3	11
72	на его	2	11
73	с ними	2	11
74	одной стороны	9	11
75	в этих	5	11
76	всех его	2	11
77	с одной	9	11
78	для него	5	11
79	все они	2	10
80	в своем	9	10
81	в том	21	10
82	и все	8	10
83	в себе	15	10
84	в него	2	10
85	лишь в	4	10
86	далеко не	5	10
87	уже не	7	10
88	и от	3	9
89	одним из	5	9
90	или менее	2	9
91	к нему	2	9
92	более или	2	9
93	в их	2	9
94	в своей	10	9
95	одна из	5	9
96	с ее	3	9
97	героя и	5	9
98	но не	9	9
99	он не	6	9
100	быть и	2	9
101	в одной	2	8
102	в ней	5	8
103	не на	3	8
104	в значительной	2	8
105	национального языка	2	8
106	человека в	2	8
107	в самом	6	8
108	входит в	2	8
109	для нас	4	8
110	всяком случае	3	8
111	перед нами	13	7
112	том что	16	7
113	язык как	2	7
114	но именно	3	7
115	в целом	4	7
116	у тургенева	2	7
117	связи с	2	7
118	например в	2	7
119	у него	8	7
120	значительной степени	2	7
121	здесь не	2	7
122	также и	6	7
123	еще более	2	7
124	жизни и	8	7
125	не было	5	7
126	в таком	2	7
127	даже в	3	6
128	ничего не	3	6
129	и слова	2	6
