N	2gram	Losev_Prob	Myshleni
1	в том	35	195
2	в этом	25	167
3	то что	42	166
4	и в	62	162
5	том что	25	161
6	таким образом	13	147
7	точки зрения	14	143
8	что в	11	119
9	не только	33	116
10	того что	10	109
11	в процессе	2	101
12	так же	11	100
13	потому что	40	95
14	того чтобы	4	91
15	может быть	39	89
16	с точки	9	89
17	что он	16	86
18	не может	14	81
19	как и	15	79
20	так как	14	78
21	для того	5	78
22	и не	56	78
23	только в	33	75
24	в целом	9	74
25	как мы	12	72
26	но и	20	70
27	речи в	2	70
28	заключается в	8	67
29	в его	10	67
30	мы могли	4	65
31	сказать что	24	65
32	как бы	11	64
33	вместе с	3	62
34	в качестве	10	60
35	и что	9	60
36	было бы	14	60
37	то же	23	58
38	в основе	3	58
39	в отношении	4	55
40	могли бы	6	54
41	что мы	12	53
42	между собой	3	53
43	в самом	4	52
44	по сравнению	3	51
45	мы должны	13	50
46	научные понятия	2	50
47	к тому	4	49
48	что они	8	48
49	мы можем	11	48
50	тем что	8	48
51	мы не	15	47
52	сравнению с	3	46
53	если бы	9	46
54	но не	6	45
55	с другой	14	45
56	тем самым	9	43
57	с тем	9	43
58	понятий в	2	43
59	же как	5	43
60	как это	4	42
61	тому что	5	42
62	не является	19	41
63	одной стороны	2	40
64	о том	14	40
65	так и	16	39
66	никогда не	7	39
67	с одной	3	39
68	в области	2	38
69	мы видели	2	38
70	вопрос о	2	37
71	не в	21	37
72	если мы	24	37
73	в этой	10	37
74	и к	9	37
75	в своем	7	36
76	все эти	14	36
77	и его	12	36
78	как в	10	36
79	а не	28	36
80	того же	2	35
81	можно было	7	35
82	он не	10	35
83	в которой	3	35
84	в себе	23	35
85	для себя	6	35
86	и как	4	34
87	связи с	10	34
88	при этом	9	33
89	прежде всего	13	33
90	по себе	36	33
91	нас к	2	32
92	что и	11	32
93	именно в	4	32
94	по своему	6	32
95	же самое	20	32
96	но в	17	32
97	слова и	3	32
98	той же	2	32
99	и тем	16	32
100	что оно	4	32
101	и на	4	32
102	и то	17	31
103	из того	3	31
104	все же	10	31
105	на то	6	30
106	могут быть	2	29
107	этого слова	5	29
108	от того	2	29
109	с этим	5	28
110	самом деле	6	28
111	что все	2	27
112	в своей	8	27
113	только что	4	27
114	с этой	3	27
115	в результате	8	27
116	в то	18	27
117	перед нами	8	27
118	этом случае	8	27
119	другой стороны	11	27
120	и с	11	27
121	в их	2	26
122	в частности	4	26
123	что это	3	26
124	для него	4	26
125	нашего исследования	2	26
126	все это	9	25
127	еще не	12	25
128	уже в	5	25
129	что она	5	25
130	это не	10	25
131	только не	6	25
