N	3gram	Bakhtin_Pr	Hudozhes
1	по отношению к	19	10
2	в том что	3	8
3	в то же	3	7
4	в отличие от	5	7
5	то же время	3	7
6	с другой стороны	4	6
7	в конечном счете	4	5
8	для того чтобы	2	5
9	той или иной	2	5
10	того или иного	2	4
11	не может быть	11	4
12	с точки зрения	6	3
13	с одной стороны	3	3
14	тем не менее	3	3
15	в этом смысле	3	3
16	можно сказать что	2	3
17	то ни было	2	2
18	и прежде всего	5	2
19	бы то ни	3	2
20	коем случае не	2	2
21	в коем случае	2	2
22	в противном случае	3	2
23	и в то	2	2
24	начало и конец	2	2
25	в самом деле	3	2
26	мы имеем дело	2	2
27	в эстетический объект	12	2
28	ни в коем	2	2
29	в основе своей	3	2
