N	2gram	Tiupa_Vved	Analitik
1	не только	32	71
2	тогда как	16	67
3	и в	23	66
4	в качестве	18	61
5	но и	31	57
6	в том	21	52
7	может быть	25	52
8	в частности	19	51
9	в этом	27	51
10	как и	21	50
11	и не	24	48
12	в тексте	11	42
13	а не	31	42
14	том что	16	40
15	при этом	43	40
16	так и	14	35
17	то есть	13	35
18	в мире	9	31
19	своего рода	20	30
20	состоит в	23	30
21	коммуникативного события	8	30
22	представляет собой	18	30
23	не может	14	29
24	как бы	8	29
25	отнюдь не	14	29
26	а в	15	28
27	в его	9	27
28	и его	9	27
29	не в	12	26
30	но не	9	26
31	текста в	3	26
32	всего лишь	7	24
33	в себе	15	24
34	художественного целого	2	24
35	иначе говоря	8	23
36	к тому	9	22
37	и даже	3	22
38	в этой	2	22
39	что в	6	22
40	лишь в	4	21
41	и т.п	14	20
42	о том	7	20
43	по отношению	11	19
44	но в	14	19
45	в своей	10	19
46	то же	8	19
47	в самом	6	19
48	максима максимыча	2	19
49	в то	5	18
50	в данном	22	18
51	отношению к	11	18
52	тем самым	6	17
53	или иной	5	17
54	с другой	10	17
55	со стороны	15	17
56	такого рода	23	17
57	в целом	4	17
58	только в	9	17
59	могут быть	5	16
60	то что	9	16
61	в пределах	3	16
62	что и	6	16
63	не есть	2	15
64	в их	2	15
65	художественного текста	2	15
66	прежде всего	11	15
67	в сущности	3	15
68	в рамках	5	15
69	уже не	7	15
70	и на	5	15
71	между тем	3	15
72	данном случае	15	14
73	в принципе	3	14
74	отличие от	11	14
75	не менее	4	14
76	той или	5	14
77	мы имеем	8	14
78	себя в	4	14
79	в отличие	11	14
80	далеко не	5	14
81	столь же	3	14
82	же время	4	14
83	по себе	2	13
84	ничего не	3	13
85	в начале	3	13
86	как раз	5	13
87	для него	5	13
88	а также	12	13
89	как правило	6	13
90	внутреннего зрения	2	13
91	в случае	4	13
92	он не	6	13
93	тому же	6	13
94	никогда не	6	12
95	и к	2	12
96	как это	2	12
97	еще не	8	12
98	как в	8	12
99	в конечном	2	12
100	сводится к	6	12
101	и сам	2	12
102	даже в	3	11
103	в свою	5	11
104	это не	7	11
105	художественного смысла	2	11
106	по своей	4	11
107	конечном счете	2	11
108	и как	2	11
109	не с	4	11
110	можно сказать	6	11
111	той же	3	11
112	в той	5	11
113	имеем дело	5	11
114	не следует	3	11
115	в конце	3	10
116	едва ли	4	10
117	все же	10	10
118	текста и	4	10
119	на себя	5	10
120	однако в	9	10
121	один из	3	10
122	было бы	4	10
123	особенно в	3	10
124	подобно тому	3	10
125	с одной	9	10
126	перед лицом	4	10
