N	2gram	Vygotskiy_	UchenyiS
1	и в	33	14
2	не только	28	10
3	а не	14	10
4	и не	18	8
5	прежде всего	5	8
6	то что	48	7
7	не может	31	7
8	вот почему	3	7
9	в этом	43	7
10	может быть	15	6
11	и только	4	5
12	то же	12	5
13	хотя бы	5	5
14	все это	2	5
15	но и	14	4
16	в этой	8	4
17	что такое	6	4
18	с другой	11	4
19	в их	4	4
20	у нас	4	3
21	в частности	9	3
22	для этого	3	3
23	и т.д	6	3
24	это не	8	3
25	только к	4	3
26	очевидно что	2	3
27	и то	9	3
28	в своей	5	3
29	все же	5	3
30	не как	3	3
31	как и	13	3
32	в то	5	3
33	но в	9	3
34	этой области	3	3
35	было бы	18	3
36	в области	19	3
37	бы то	2	3
38	другой стороны	9	3
39	для него	9	3
40	в самом	10	2
41	в себе	4	2
42	что мы	11	2
43	мы и	6	2
44	о чем	3	2
45	является в	2	2
46	же самое	7	2
47	что он	40	2
48	на каждом	3	2
49	таким образом	30	2
50	но не	13	2
51	и для	3	2
52	если бы	13	2
53	их и	2	2
54	между тем	5	2
55	самом деле	9	2
56	только в	21	2
57	одним из	4	2
58	этом смысле	5	2
59	и является	6	2
60	не есть	4	2
61	что она	3	2
62	ничего не	6	2
63	и с	7	2
64	тех или	2	2
65	что и	11	2
66	или иных	2	2
67	вопроса о	5	2
68	каждом шагу	3	2
69	могут быть	7	2
70	на первый	2	2
71	не могут	7	2
72	смысле этого	2	2
73	сих пор	3	2
74	по себе	8	2
75	тем что	12	2
76	том что	41	2
77	в его	15	2
78	в том	44	2
79	что все	9	2
80	этом отношении	7	2
81	как таковой	2	2
82	если не	3	2
83	с его	3	2
84	как раз	5	2
85	должна быть	7	2
86	представляется нам	4	2
87	конце концов	2	2
88	его и	4	2
89	но это	4	2
90	для всех	2	2
91	по существу	5	2
92	не в	10	2
93	думается что	5	2
94	в конце	3	2
95	в системе	4	2
96	с проблемой	2	2
97	мы не	6	2
98	до сих	3	2
99	могли бы	15	2
100	не столько	3	2
