N	2gram	Voloshinov	OGranits
1	и в	28	13
2	и его	22	12
3	прежде всего	26	9
4	и не	34	8
5	не может	30	8
6	может быть	28	8
7	в его	25	7
8	и пр	29	7
9	и их	2	7
10	точки зрения	31	7
11	и т.п	4	7
12	не только	10	6
13	социального общения	3	6
14	мы должны	9	6
15	как бы	19	6
16	таким образом	34	6
17	только в	11	6
18	то что	17	6
19	все же	8	5
20	с точки	15	5
21	но ведь	4	5
22	и наконец	12	5
23	хотя бы	7	5
24	в процессе	5	5
25	мы можем	20	4
26	но в	13	4
27	то же	12	4
28	в сознании	3	4
29	но мы	6	4
30	не является	7	4
31	в своей	14	4
32	все это	12	4
33	социальной группы	3	4
34	было бы	8	4
35	мы не	9	4
36	вполне понятно	2	4
37	никогда не	10	3
38	да и	2	3
39	и для	7	3
40	и то	3	3
41	и все	13	3
42	связана с	2	3
43	в ее	5	3
44	превращается в	2	3
45	с этим	8	3
46	при анализе	3	3
47	отношению к	11	3
48	и уже	2	3
49	как и	13	3
50	в пределах	6	3
51	не в	10	3
52	в их	2	3
53	говорить о	5	3
54	ни один	3	3
55	ничего общего	4	3
56	так как	15	3
57	в себе	7	3
58	что в	7	3
59	по отношению	13	3
60	точку зрения	12	3
61	но для	3	3
62	самом деле	14	3
63	за пределы	10	3
64	так и	14	3
65	что же	10	3
66	в которой	5	3
67	не как	2	3
68	в одном	3	3
69	в искусстве	3	3
70	но и	10	3
71	в самом	12	2
72	могут быть	9	2
73	мы видим	3	2
74	конечно в	3	2
75	в этом	28	2
76	смысле слова	4	2
77	в них	3	2
78	для себя	2	2
79	представлений и	2	2
80	данном случае	4	2
81	в книге	2	2
82	уже в	3	2
83	в том	10	2
84	в отношении	2	2
85	в целом	4	2
86	если бы	4	2
87	не исчерпывается	2	2
88	от этого	2	2
89	думать что	2	2
90	с одной	2	2
91	не имеет	2	2
92	зависимости от	4	2
93	явлений и	2	2
94	роль в	7	2
95	и др	9	2
96	но так	2	2
97	говорить об	2	2
98	ее в	5	2
99	разрыв между	2	2
100	более того	7	2
101	с другой	2	2
102	там где	2	2
103	слова и	4	2
104	от всех	3	2
105	а в	8	2
106	и тем	2	2
107	том что	12	2
108	а как	3	2
109	а также	2	2
110	в г	3	2
111	только его	2	2
112	и к	7	2
113	нужно отметить	2	2
114	в зависимости	4	2
115	в данном	4	2
116	в общем	5	2
117	не менее	6	2
118	и следовательно	3	2
119	с ними	5	2
120	все эти	15	2
121	в области	4	2
122	связанные с	4	2
123	так же	4	2
124	иным как	3	2
125	мы уже	10	2
126	те же	9	2
127	и истории	4	2
128	нуждается в	3	2
129	и при	3	2
130	и может	4	2
131	в своих	5	2
132	в нем	7	2
133	при этом	8	2
134	сознания и	6	2
135	и ее	7	2
136	а не	9	2
137	между собою	2	2
138	чем иным	2	2
139	во всей	3	2
140	в ней	8	2
141	на две	3	2
142	входит в	2	2
143	в течение	2	2
144	как в	4	2
145	мог бы	2	2
146	и является	3	2
147	чем же	6	2
148	не чем	2	2
149	одной стороны	2	2
150	бы в	2	2
151	между тем	3	2
152	и этот	2	2
153	в чем	9	2
154	связанных с	4	2
155	на язык	4	2
156	тот же	10	2
157	ни одно	2	2
158	в другом	4	2
159	самого начала	5	2
160	вовсе не	16	2
161	в этот	4	2
162	с самого	7	2
163	учение о	6	2
164	подойти к	2	2
165	к тому	6	2
166	с помощью	20	2
167	для него	12	2
168	может стать	4	2
