N	3gram	Potebnia_M	Freidism
1	с точки зрения	3	15
2	не может быть	11	14
3	по отношению к	13	11
4	в том что	18	9
5	во всяком случае	7	8
6	в то же	3	6
7	то же время	3	6
8	с самого начала	5	5
9	в таком случае	4	4
10	тем не менее	10	4
11	сам по себе	5	4
12	не могут быть	5	4
13	мы увидим что	3	4
14	на самом деле	2	4
15	в свою очередь	8	4
16	все то что	2	3
17	мы не можем	2	3
18	и той же	3	3
19	на этот вопрос	2	3
20	бы то ни	2	3
21	но во всяком	3	3
22	в собственном смысле	2	3
23	так и в	5	3
24	для того чтобы	4	3
25	до сих пор	5	3
26	одной и той	3	3
27	мы видели что	2	3
28	в применении к	3	2
29	к тому что	2	2
30	то что мы	2	2
31	таким образом в	3	2
32	с одной стороны	6	2
33	что и в	4	2
34	в этом смысле	4	2
35	и может быть	4	2
36	что мы называем	2	2
37	в таком виде	2	2
