N	3gram	Voloshinov	RusskieA
1	в том что	9	49
2	тем не менее	4	14
3	о том что	3	10
4	в данном случае	4	8
5	для того чтобы	3	8
6	мы не можем	3	7
7	как мы видели	8	6
8	не может быть	14	6
9	к тому что	2	5
10	мы видели что	3	5
11	во всяком случае	8	4
12	один из них	2	4
13	как мы уже	5	4
14	в отличие от	2	4
15	но вместе с	2	3
16	на самом же	2	3
17	по отношению к	11	3
18	может быть и	6	3
19	с точки зрения	15	3
20	в какой степени	2	3
21	самом же деле	2	3
22	до сих пор	3	3
23	в свою очередь	4	3
24	к этому времени	2	2
25	ничего общего не	3	2
26	далеко не так	2	2
27	мы уже знаем	3	2
28	на самом деле	4	2
29	можно сказать что	5	2
30	в этом отношении	4	2
31	в большинстве случаев	5	2
32	с одной стороны	2	2
33	мы увидим что	4	2
34	в таком виде	2	2
35	равно как и	2	2
