N	3gram	Vygotskiy_	Problemy
1	с точки зрения	12	25
2	по отношению к	19	18
3	в этом смысле	5	16
4	на самом деле	3	15
5	не может быть	4	14
6	в конце концов	2	11
7	до сих пор	3	10
8	с самого начала	8	9
9	в самом деле	6	9
10	во всяком случае	2	9
11	с другой стороны	8	9
12	и не может	3	8
13	друг с другом	10	8
14	в том что	33	8
15	мы уже говорили	2	7
16	сама по себе	4	7
17	том что он	3	6
18	в отличие от	3	6
19	а не как	2	5
20	подобно тому как	6	5
21	в зависимости от	2	5
22	можно было бы	8	5
23	в высшей степени	3	5
24	но все же	2	5
25	его отношение к	3	4
26	друг к другу	3	4
27	о том что	7	4
28	само по себе	2	4
29	в этом отношении	7	4
30	именно потому что	3	4
31	смысле этого слова	2	4
32	к тому чтобы	4	4
33	друг на друга	2	4
34	но при этом	2	3
35	как мы видели	4	3
36	в то время	4	3
37	в данном случае	3	3
38	как мы уже	2	3
39	на то что	5	3
40	не только не	7	3
41	на этот вопрос	5	3
42	в настоящее время	2	3
43	то время как	4	3
44	никак не может	2	3
45	в этом случае	5	3
46	в той же	3	3
47	того что он	3	3
48	можно сказать что	7	3
49	в такой же	3	2
50	то же самое	7	2
51	же как и	2	2
52	этой точки зрения	7	2
53	то что он	3	2
54	только то что	2	2
55	что он не	3	2
56	но в этом	2	2
57	знает что он	2	2
58	внутренние и внешние	2	2
59	и в другом	3	2
60	по своей структуре	2	2
61	с таким же	3	2
62	в лучшем случае	3	2
63	друг от друга	5	2
64	к тому что	5	2
65	между этими двумя	2	2
66	вместе с тем	4	2
67	для того чтобы	20	2
68	в свою очередь	4	2
