N	3gram	Medvedev_F	KulturaY
1	и т п	11	93
2	и т д	11	42
3	для того чтобы	3	38
4	с точки зрения	17	36
5	в том что	3	33
6	в самом деле	5	29
7	во всяком случае	6	19
8	тем не менее	2	19
9	с другой стороны	4	17
10	в зависимости от	4	16
11	до сих пор	7	14
12	в том чтобы	3	14
13	по отношению к	4	13
14	в связи с	9	12
15	в этом отношении	7	11
16	не может быть	11	11
17	в этом смысле	3	10
18	вместе с тем	5	9
19	того или иного	6	9
20	на самом деле	7	8
21	не в том	3	8
22	т е как	3	8
23	в том случае	2	7
24	с одной стороны	5	7
25	в свою очередь	6	7
26	в то же	13	6
27	то же время	13	6
28	в отличие от	2	6
29	но все же	2	5
30	т е в	2	5
31	более или менее	7	5
32	так и в	6	5
33	т п в	2	5
34	в данном случае	2	5
35	и в этом	6	5
36	и пр и	4	5
37	хотя бы в	4	5
38	как мы видели	5	5
39	пр и пр	4	4
40	сам по себе	2	4
41	к тому что	3	4
42	мы говорим о	2	4
43	смысле этого слова	4	4
44	именно в том	2	4
45	в противном случае	2	3
46	в настоящее время	11	3
47	в лучшем случае	3	3
48	не могут быть	4	3
49	с тем что	3	3
50	как раз и	4	3
51	в конце концов	2	3
52	в какой мере	2	3
53	что и в	2	3
54	в том смысле	3	3
55	в той же	2	3
56	к тому чтобы	2	3
57	сама по себе	2	3
58	и не в	2	3
59	и прежде всего	2	2
60	бы то ни	4	2
61	прежде всего в	5	2
62	в применении к	4	2
63	и пр но	2	2
64	в своей статье	5	2
65	в строгом смысле	2	2
66	друг от друга	2	2
67	в широком смысле	2	2
68	в большинстве случаев	5	2
69	может быть и	4	2
70	сводится к тому	2	2
71	том смысле что	2	2
72	как мы знаем	2	2
73	как и всякая	2	2
74	ничего общего с	2	2
75	но даже и	2	2
76	сами по себе	4	2
77	и в то	4	2
78	в первый период	5	2
79	в ее целом	3	2
80	а вовсе не	2	2
