N	2gram	Tiupa_Teor	EvropaiC
1	таким образом	3	34
2	в том	20	31
3	и в	24	24
4	том что	11	20
5	все эти	3	19
6	не может	8	18
7	то что	6	18
8	может быть	22	17
9	точки зрения	11	14
10	в этом	12	13
11	все это	2	13
12	в своем	7	12
13	самом деле	2	12
14	между тем	5	12
15	по отношению	10	11
16	но и	14	11
17	отношению к	10	11
18	не только	24	10
19	так и	14	10
20	во всех	3	10
21	как и	6	10
22	культуры в	3	10
23	как бы	8	10
24	и не	17	9
25	не в	9	9
26	что в	10	9
27	того же	4	9
28	потому что	3	9
29	при этом	20	9
30	и что	4	9
31	так же	2	8
32	из этих	3	8
33	или менее	6	8
34	если бы	3	8
35	для того	5	8
36	к тому	4	8
37	более или	6	8
38	в самом	7	8
39	а и	5	8
40	того чтобы	5	8
41	с точки	3	8
42	в силу	4	7
43	по своей	8	7
44	что он	4	7
45	того что	5	7
46	не менее	6	7
47	о том	2	7
48	что и	2	7
49	в этой	3	7
50	вместе с	2	7
51	в мире	26	6
52	отличается от	2	6
53	только в	9	6
54	еще не	6	6
55	в то	9	6
56	и для	3	6
57	с другой	9	6
58	и на	2	6
59	несмотря на	2	6
60	тогда как	18	6
61	его в	4	5
62	в себе	14	5
63	в которой	3	5
64	как к	5	5
65	лишь в	10	5
66	так или	5	5
67	по своему	4	5
68	у него	2	5
69	далеко не	4	5
70	но в	12	5
71	столь же	3	5
72	именно в	3	5
73	или иначе	6	5
74	и к	3	5
75	другой стороны	6	5
76	в целом	4	5
77	не будет	3	5
78	между двумя	3	5
79	в его	12	5
80	как будто	2	5
81	быть и	2	5
82	никогда не	4	4
83	и то	3	4
84	не могут	2	4
85	для меня	2	4
86	то ни	2	4
87	тем не	3	4
88	в конце	2	4
89	отношение к	7	4
90	и т.д	4	4
91	иначе говоря	5	4
92	то же	12	4
93	в их	4	4
94	в области	7	4
95	а с	3	4
96	одним из	3	4
97	между собой	3	4
98	все прочие	3	4
99	на вопрос	2	4
100	из которых	2	4
101	в европейской	2	4
102	данный момент	2	4
103	связи с	3	4
104	в таком	3	4
105	он не	5	4
106	если мы	2	4
107	хотя и	4	4
108	даже в	3	3
109	данном случае	5	3
110	тем самым	6	3
111	это не	4	3
112	и потому	3	3
113	тем более	2	3
114	ни было	2	3
115	с этой	3	3
116	в этих	4	3
117	в связи	3	3
118	одного и	4	3
119	у нас	2	3
120	вследствие этого	2	3
121	прежде всего	3	3
122	отличие от	7	3
123	с одной	3	3
124	в жизни	3	3
125	но не	13	3
126	и это	2	3
127	в данном	9	3
128	а в	15	3
129	бы то	2	3
130	может служить	2	3
131	на почве	5	3
132	не вполне	2	3
133	в нем	7	3
134	в сторону	3	3
135	и по	3	3
136	в нашем	4	3
137	и того	4	3
138	заключается в	2	3
139	образом и	2	2
140	однако при	3	2
141	не от	2	2
142	то в	2	2
143	но как	2	2
144	одну из	2	2
145	и ее	4	2
146	что она	2	2
147	то есть	22	2
148	в другом	4	2
149	свою очередь	3	2
150	для себя	3	2
151	должен быть	2	2
152	этих двух	2	2
153	в виду	5	2
154	он должен	3	2
155	в частности	23	2
156	что они	2	2
157	от себя	3	2
158	это может	2	2
159	а для	2	2
160	никто не	3	2
161	не знает	4	2
162	в одно	2	2
163	для него	5	2
164	есть в	3	2
165	ни для	2	2
166	этом что	2	2
167	совершенно иной	2	2
168	тому что	2	2
169	к нему	2	2
170	в точке	3	2
171	в самой	2	2
172	их в	3	2
173	со временем	2	2
174	я в	18	2
175	во втором	3	2
176	в свою	4	2
177	одной стороны	3	2
178	но на	2	2
179	на этом	2	2
180	между ними	6	2
181	отнюдь не	3	2
182	в них	2	2
183	только не	3	2
184	со своей	4	2
185	и некоторые	2	2
186	а затем	2	2
187	сводится к	12	2
188	с ними	2	2
189	говорить о	4	2
190	себя и	2	2
191	и особенно	2	2
192	и его	11	2
193	нашем случае	2	2
194	же время	8	2
195	с ее	4	2
196	и сам	4	2
197	не следует	4	2
198	во всей	3	2
199	этого слова	4	2
200	в себя	5	2
201	имеет место	3	2
202	я не	2	2
203	вовсе не	3	2
204	в основе	6	2
205	тем же	2	2
206	при условии	2	2
207	и состоит	2	2
