N	3gram	Losev_Prob	Russkaja
1	в то же	2	10
2	с точки зрения	13	9
3	в том что	13	7
4	для того чтобы	3	6
5	во всяком случае	6	6
6	на самом деле	2	6
7	до сих пор	3	5
8	бы то ни	4	4
9	на то что	2	4
10	не может быть	2	4
11	вместе с тем	5	3
12	в конце концов	7	3
13	в данном случае	5	3
14	той или иной	4	3
15	и то что	3	3
16	можно было бы	2	3
17	точно так же	4	2
18	того или иного	2	2
19	и вместе с	3	2
20	только в том	2	2
21	в значительной мере	3	2
22	о том что	14	2
23	в настоящее время	7	2
24	сама по себе	2	2
