N	2gram	Tiupa_Narr	VeschiIm
1	и не	34	57
2	не только	50	48
3	то что	14	48
4	не может	16	46
5	и в	22	45
6	может быть	24	39
7	и т	3	39
8	а не	27	37
9	что я	4	26
10	потому что	7	25
11	было бы	2	24
12	не просто	2	24
13	в себе	14	23
14	что она	3	23
15	по себе	4	23
16	только в	23	23
17	сказать что	5	22
18	как бы	11	20
19	и ее	3	19
20	с нею	2	19
21	что это	4	19
22	но и	39	19
23	все же	10	18
24	в этом	23	18
25	прежде всего	7	17
26	что мы	2	17
27	того что	7	16
28	таким образом	5	16
29	как раз	9	16
30	в том	20	15
31	как и	15	15
32	в ней	5	15
33	уже не	11	15
34	не в	12	14
35	и то	3	14
36	но это	2	14
37	том что	15	13
38	это и	2	13
39	не будет	2	13
40	и для	4	13
41	в самом	8	13
42	в себя	3	13
43	ничего не	8	12
44	что в	6	12
45	точки зрения	8	12
46	что и	3	12
47	если она	3	12
48	и как	4	12
49	то же	12	12
50	еще не	6	12
51	и даже	4	12
52	о том	5	12
53	и с	3	12
54	в то	9	11
55	не менее	6	11
56	что не	2	11
57	вовсе не	2	11
58	себя в	4	11
59	тем не	7	11
60	также и	4	11
61	и только	2	11
62	в чем	3	10
63	с ее	3	10
64	ясно что	2	10
65	это не	6	9
66	со стороны	14	9
67	в своем	7	9
68	то и	3	9
69	она не	2	9
70	хотя бы	4	9
71	бы в	2	9
72	в результате	4	9
73	у нас	4	9
74	на то	4	9
75	но не	7	9
76	и его	12	9
77	с ним	6	9
78	и потому	2	8
79	что он	7	8
80	но в	10	8
81	в ее	4	8
82	мы не	5	8
83	должна быть	2	8
84	можно сказать	11	8
85	мы имеем	6	8
86	если бы	9	8
87	для него	8	8
88	с другой	6	8
89	со своим	2	8
90	отнюдь не	6	8
91	в действительности	2	7
92	и тем	9	7
93	из них	4	7
94	самом деле	4	7
95	а в	19	7
96	все эти	3	7
97	в сущности	2	7
98	я не	5	7
99	никак не	5	7
100	или не	5	7
101	с этой	3	7
102	ни от	2	7
103	оно не	4	7
104	и тогда	2	7
105	никогда не	8	6
106	для себя	3	6
107	и все	7	6
108	в нем	9	6
109	между ними	3	6
110	в своей	8	6
111	как мы	3	6
112	одно и	2	6
113	одна из	5	6
114	в данном	17	6
115	можно было	2	6
116	дело в	2	6
117	все равно	2	6
118	или иначе	2	6
119	в сфере	2	6
120	их в	4	6
121	в той	4	6
122	жизни и	7	6
123	с точки	2	6
124	в одном	5	6
125	да и	5	5
126	как к	3	5
127	свою очередь	2	5
128	имеет смысл	2	5
129	вместе с	3	5
130	собственно говоря	3	5
131	как это	7	5
132	того же	2	5
133	точка зрения	5	5
134	один из	8	5
135	на себя	5	5
136	она сама	2	5
137	в его	12	5
138	и когда	3	5
139	о ней	5	5
140	хотя и	8	5
141	быть и	3	5
142	во всех	2	5
143	в которой	2	5
144	об этом	8	5
145	и здесь	3	5
146	как о	2	5
147	в жизни	9	5
148	подобно тому	4	5
149	что у	6	5
150	все что	4	5
151	в свою	4	5
152	как можно	2	5
153	только не	2	5
