N	2gram	Medvedev_V	Morfolog
1	и т	25	62
2	может быть	23	61
3	т д	16	60
4	таким образом	32	26
5	т е	18	25
6	действующих лиц	5	22
7	могут быть	8	21
8	мы имеем	3	19
9	не может	17	19
10	в этом	29	18
11	и в	26	17
12	и не	20	16
13	перед нами	5	14
14	с этим	3	14
15	прежде всего	13	14
16	по существу	4	13
17	при помощи	3	12
18	и др	10	12
19	связи с	5	12
20	а не	7	11
21	то же	10	10
22	в том	15	10
23	не всегда	2	10
24	то что	7	10
25	так и	6	10
26	что в	11	10
27	что и	3	10
28	а затем	2	10
29	в связи	4	10
30	все же	6	9
31	но и	10	9
32	с другой	11	9
33	не только	26	8
34	представляет собою	11	8
35	в результате	5	8
36	но не	2	8
37	а в	3	8
38	в качестве	12	8
39	не могут	10	7
40	том что	8	7
41	если в	2	7
42	по отношению	7	7
43	не менее	2	7
44	отношению к	7	7
45	как это	12	7
46	точки зрения	3	7
47	один из	6	7
48	это не	7	6
49	во всех	7	6
50	и как	3	6
51	или в	3	6
52	во время	4	6
53	также и	2	6
54	подобно тому	3	6
55	о том	10	6
56	в образе	2	6
57	в форме	3	6
58	как бы	5	6
59	вовсе не	3	6
60	одна из	4	5
61	они и	2	5
62	и ее	4	5
63	вслед за	3	5
64	хотя бы	20	5
65	было бы	8	5
66	об этом	9	5
67	что он	4	5
68	начинается с	2	5
69	то это	2	5
70	далеко не	3	5
71	тому что	7	5
72	к тому	5	5
73	из которых	2	5
74	между тем	6	5
75	в целом	5	5
76	главным образом	7	5
77	другой стороны	8	5
78	тому как	3	5
79	все эти	8	5
80	что они	3	5
81	он не	2	5
82	хотя и	2	5
83	сказать что	5	4
84	его в	3	4
85	три года	2	4
86	так же	3	4
87	в то	6	4
88	значит что	2	4
89	можно было	2	4
90	к этому	9	4
91	на него	2	4
92	не является	5	4
93	еще не	2	4
94	из них	11	4
95	но в	2	4
96	что его	2	4
97	и для	2	4
98	следующим образом	4	4
99	как и	7	4
100	ни одна	2	4
101	этот вопрос	3	4
102	и к	3	4
103	на этом	2	4
104	получает в	2	4
105	смысле слова	2	4
106	того чтобы	3	4
107	о его	2	4
108	говорить о	2	4
109	от того	2	4
110	некоторые из	3	3
111	можно указать	2	3
112	утверждать что	5	3
113	но как	3	3
114	в которой	2	3
115	даже не	2	3
116	и их	3	3
117	и у	2	3
118	только что	4	3
119	если бы	3	3
120	в последнем	2	3
121	это и	6	3
122	связана с	2	3
123	не в	6	3
124	для того	3	3
125	и при	5	3
126	у нас	3	3
127	в пределах	5	3
128	того что	3	3
129	приводит к	6	3
130	из приведенных	3	3
131	так например	2	3
132	ее в	4	3
133	они не	2	3
134	на то	2	3
135	что такое	2	3
136	что при	2	3
137	но для	2	3
138	и по	3	3
139	же в	7	3
140	и его	6	3
141	только в	8	3
142	и есть	5	3
143	в этой	4	3
144	с его	4	3
145	самого себя	2	2
146	если они	2	2
147	как например	2	2
148	из этих	7	2
149	том как	3	2
150	одной стороны	2	2
151	что многие	2	2
152	бы в	3	2
153	в другом	2	2
154	и даже	2	2
155	или менее	6	2
156	что она	2	2
157	роль в	4	2
158	сюжетов и	2	2
159	этом отношении	14	2
160	в частности	12	2
161	только для	2	2
162	одним из	5	2
163	вот как	4	2
164	между собою	2	2
165	на вопрос	2	2
166	что ни	2	2
167	в чем	2	2
168	с одной	2	2
169	всех других	3	2
170	должна быть	2	2
171	но вот	2	2
172	не с	2	2
173	одной из	2	2
174	не по	2	2
175	с тем	4	2
176	и этот	2	2
177	в самых	2	2
178	во сне	21	2
179	она не	3	2
180	он может	2	2
181	более или	6	2
182	их в	7	2
183	но с	2	2
184	в своих	2	2
185	в различных	2	2
186	ту же	2	2
187	в другую	3	2
188	в которых	3	2
189	с другими	2	2
190	что мы	2	2
191	всяком случае	2	2
192	может не	2	2
193	должны быть	2	2
194	все это	13	2
195	у него	6	2
196	например в	3	2
197	можно сказать	4	2
198	из его	4	2
199	который в	2	2
200	момент в	3	2
201	представляют собою	2	2
202	это мы	3	2
203	для него	9	2
204	в одном	5	2
205	во всяком	2	2
206	того как	2	2
