N	3gram	Tiupa_Disk	Problemy
1	то же время	9	26
2	в то же	7	26
3	с точки зрения	3	25
4	по отношению к	13	18
5	не может быть	5	14
6	в большинстве случаев	2	12
7	с самого начала	2	9
8	во всяком случае	2	9
9	с другой стороны	4	9
10	и не может	3	8
11	в том что	18	8
12	и в то	2	7
13	в отличие от	12	6
14	а не как	2	5
15	по крайней мере	3	5
16	той или иной	6	5
17	к тому же	4	5
18	подобно тому как	4	5
19	и прежде всего	2	4
20	более или менее	2	4
21	о том что	8	4
22	так и в	4	4
23	как и в	3	4
24	сами по себе	2	4
25	в этом отношении	4	4
26	но при этом	3	3
27	и то же	2	3
28	большей или меньшей	2	3
29	в данном случае	6	3
30	одно и то	2	3
31	каждый из них	2	3
32	в этом случае	3	3
33	тем что он	2	3
34	можно сказать что	3	3
35	прежде всего в	2	2
36	то же самое	2	2
37	что он ничего	2	2
38	только то что	2	2
39	а не в	2	2
40	как и всякое	2	2
41	что же касается	4	2
42	не только в	2	2
43	дело в том	3	2
44	в значительной степени	3	2
45	как будто бы	2	2
46	в свою очередь	3	2
