N	2gram	Losev_Prob	FransuaR
1	и в	62	367
2	то есть	63	209
3	в этом	25	112
4	и не	56	101
5	таким образом	13	100
6	и его	12	99
7	в его	10	98
8	прежде всего	13	92
9	не только	33	87
10	мы уже	4	85
11	но и	20	84
12	как бы	11	82
13	все эти	14	79
14	вовсе не	62	77
15	как и	15	76
16	в нем	13	75
17	но в	17	75
18	в эпоху	2	75
19	и на	4	72
20	в том	35	71
21	как мы	12	71
22	то же	23	66
23	и все	13	66
24	так и	16	65
25	в этой	10	65
26	в них	6	65
27	и с	11	64
28	во время	3	63
29	в то	18	63
30	все это	9	62
31	во всех	4	62
32	что в	11	52
33	в своем	7	51
34	только в	33	48
35	так как	14	46
36	и до	3	46
37	том что	25	45
38	здесь в	3	41
39	то что	42	41
40	жизни и	7	40
41	в самом	4	38
42	точки зрения	14	37
43	в ней	12	37
44	может быть	39	35
45	о том	14	35
46	сказать что	24	34
47	и даже	21	34
48	в себе	23	34
49	в конце	7	32
50	он не	10	32
51	мы видели	2	32
52	для него	4	32
53	в своей	8	31
54	в литературе	3	31
55	так же	11	30
56	никогда не	7	30
57	и потому	13	30
58	той же	2	30
59	потому что	40	30
60	в этих	6	29
61	не может	14	29
62	еще не	12	29
63	его в	4	29
64	не в	21	29
65	при этом	9	29
66	в одном	4	29
67	связи с	10	29
68	что он	16	29
69	из них	4	28
70	в основе	3	28
71	всех этих	6	28
72	в той	8	28
73	также и	22	28
74	здесь и	4	28
75	и к	9	28
76	сих пор	4	27
77	по своему	6	27
78	и другие	4	27
79	до сих	4	27
80	все же	10	27
81	кроме того	5	26
82	все они	5	26
83	в условиях	7	26
84	на самом	13	25
85	в области	2	25
86	но это	13	25
87	того чтобы	4	24
88	в ее	6	24
89	и от	11	24
90	в частности	4	24
91	но не	6	24
92	как в	10	24
93	и у	2	24
94	он и	3	24
95	времени и	4	24
96	и для	5	23
97	это не	10	23
98	в их	2	23
99	с ним	11	23
100	еще и	10	23
101	и здесь	8	23
102	есть и	2	23
103	к нему	3	23
104	и о	8	22
105	и во	5	22
106	даже в	2	22
107	а в	9	22
108	что и	11	22
109	поэтому и	3	22
110	тем что	8	22
111	вместе с	3	22
112	не было	6	22
113	именно в	4	21
114	в своих	2	21
115	в качестве	10	21
116	что это	3	21
117	в отношении	4	21
118	и наконец	2	21
119	ни в	17	21
120	одним из	2	21
121	есть в	6	21
122	и как	4	21
123	уже в	5	21
124	образов и	4	20
125	а также	6	20
126	как раз	11	20
127	в виду	20	20
128	в значительной	2	20
129	с точки	9	20
130	самом деле	6	20
131	и это	11	20
132	в связи	9	20
133	того же	2	19
134	их в	2	19
135	во всем	2	19
136	хотя и	9	19
137	к этому	2	19
138	в ту	2	19
139	было бы	14	19
140	за пределы	6	19
141	с другой	14	19
142	с ее	5	19
143	этих образов	2	18
144	связанные с	2	18
145	мы находим	8	18
146	это в	2	18
147	здесь не	11	18
148	но они	4	18
149	это и	11	18
150	перед нами	8	18
151	весь мир	2	18
152	связан с	2	18
153	конечно и	2	18
154	для того	5	17
155	но все	5	17
156	того что	10	17
157	можно было	7	17
158	в результате	8	17
159	еще более	3	17
160	конечно не	3	17
161	а не	28	17
162	ничего не	4	16
163	в свете	4	16
164	в начале	3	16
165	в другом	4	16
166	дело в	6	16
167	ii гл	2	16
168	с одной	3	16
169	в истории	4	15
170	никто не	5	15
171	и вообще	20	15
172	мы еще	3	15
173	в нашем	13	15
174	и прежде	3	15
175	xix века	2	15
176	особенно в	2	15
177	как на	2	15
178	говорили что	3	15
179	с их	2	15
180	в которой	3	15
181	в самой	4	15
182	мы не	15	14
183	по существу	2	14
184	в данном	14	14
185	и он	3	14
186	и образ	6	14
187	несмотря на	4	14
188	и по	3	14
189	в чем	5	14
190	в котором	3	14
191	здесь только	7	14
192	образом в	2	14
193	как он	2	13
194	отличие от	3	13
195	что все	2	13
196	это было	4	13
197	в других	2	13
198	или в	7	13
199	с этим	5	13
200	и еще	2	13
201	бы в	3	13
202	жизнь и	3	13
203	и есть	9	13
204	и сам	6	13
205	не на	2	13
206	в известной	3	13
207	во все	3	13
208	о чем	4	13
209	только на	6	13
210	одной стороны	2	13
211	одновременно и	4	13
212	у нас	17	12
213	литературы и	2	12
214	вещей и	2	12
215	образы и	6	12
216	во всей	3	12
217	в пределах	3	12
218	и ее	7	12
219	но именно	4	12
220	не был	3	12
221	он в	3	12
222	можно сказать	10	12
223	о нем	2	12
224	другой стороны	11	12
225	об этом	7	12
226	но этот	2	12
227	это уже	4	11
228	все время	2	11
229	в заключение	5	11
230	и более	6	11
231	ни с	5	11
232	из этого	5	11
233	зрения на	2	11
234	и самый	3	11
235	формы и	3	11
236	уже не	12	11
237	и что	9	11
238	другими словами	9	11
239	в узком	2	11
240	слова и	3	11
241	между собою	5	11
242	и особенно	3	11
243	с ними	2	11
244	той или	22	11
245	что они	8	11
246	в отличие	2	11
247	данном случае	12	10
248	мы здесь	2	10
249	самом же	7	10
250	образом и	2	10
251	или иной	20	10
252	на котором	2	10
253	в изображении	2	10
254	на этот	4	10
255	поэтому в	2	10
256	новое и	3	10
257	в процессе	2	10
258	в таких	3	10
259	конце концов	4	10
260	к тому	4	10
261	выходит за	2	10
262	его как	3	10
263	нас в	5	10
264	что для	4	10
265	для всех	3	10
266	даже и	33	10
267	в целом	9	10
268	да и	9	10
269	же деле	7	10
270	не просто	36	10
271	но оно	3	10
272	еще раз	2	9
273	что не	4	9
274	значение и	7	9
275	первый план	3	9
276	относится к	4	9
277	но как	6	9
278	вплоть до	3	9
279	как это	4	9
280	в разных	4	9
281	вся эта	3	9
282	и то	17	9
283	для нас	23	9
284	в тех	3	9
285	что на	2	9
286	не имеет	12	9
287	в которых	3	9
288	же в	6	9
289	и вся	2	9
290	их с	2	9
291	представлений о	2	9
292	мы можем	11	9
293	но на	2	9
294	не понимает	2	9
295	отношения к	3	9
296	чем же	7	9
297	от него	2	8
298	с этой	3	8
299	так что	21	8
300	здесь мы	5	8
301	с тем	9	8
302	и без	9	8
303	языка и	4	8
304	со всем	2	8
305	для этого	9	8
306	если бы	9	8
307	мертвых душ	2	8
308	значение в	3	8
309	и почти	2	8
310	но эта	4	8
311	и ни	5	8
312	в него	2	8
313	мы сказали	2	8
314	по поводу	3	8
315	как они	4	8
316	и она	2	8
317	у гоголя	9	8
318	перестает быть	3	8
319	всякого рода	9	8
320	все те	2	8
321	и при	2	8
322	самой жизни	2	8
323	более или	2	8
324	на первый	6	8
325	но с	2	8
326	или менее	2	8
327	не менее	24	8
328	всего этого	2	8
329	он как	2	8
330	дело не	4	8
331	как о	6	8
332	и вовсе	7	8
333	то время	6	8
334	не будем	4	7
335	а как	2	7
336	в целях	6	7
337	как нечто	9	7
338	никак не	13	7
339	и часто	2	7
340	себе и	4	7
341	искусства и	3	7
342	что у	3	7
343	тому как	2	7
344	мы говорили	3	7
345	мы будем	3	7
346	есть только	5	7
347	правда в	3	7
348	и за	2	7
349	его не	2	7
350	только с	5	7
351	на том	3	7
352	в виде	20	7
353	и всей	2	7
354	во всяком	14	7
355	себя в	4	7
356	подобно тому	3	7
357	из которых	6	7
358	в таком	11	7
359	том как	4	7
360	на него	3	7
361	значительной мере	2	7
362	и если	11	7
363	в настоящее	4	7
364	здесь на	2	7
365	нас не	6	7
366	и очень	6	7
367	и там	2	7
368	нет ничего	6	7
369	настоящее время	4	7
370	но она	2	7
371	в новое	3	7
372	узком смысле	2	7
373	же и	7	7
374	в нее	2	6
375	что здесь	5	6
376	такого рода	14	6
377	у них	2	6
378	в искусстве	4	6
379	смысле слова	19	6
380	свидетельствует о	2	6
381	вот это	2	6
382	переходит в	2	6
383	исторического развития	2	6
384	и тот	2	6
385	он может	2	6
386	входит в	3	6
387	или даже	6	6
388	ее в	2	6
389	казалось бы	3	6
390	и такие	3	6
391	жизнь в	3	6
392	могут быть	2	6
393	для них	4	6
394	свое значение	3	6
395	что она	5	6
396	совершенно не	7	6
397	а именно	12	6
398	и следовательно	3	6
399	друг друга	5	6
400	и вы	2	6
401	между прочим	4	6
402	до того	2	6
403	этого слова	5	6
404	уже и	2	6
405	не могли	2	6
406	дает нам	2	6
407	дается в	2	6
408	можно только	3	6
409	хотя бы	6	6
410	в языке	4	6
411	от того	2	6
412	то он	3	6
413	является и	2	6
414	очень много	4	6
415	имеем в	4	6
416	как она	2	6
417	как будто	11	6
418	тем же	2	6
419	от всего	3	6
420	за счет	2	6
421	себе в	5	6
422	не столько	2	6
423	ведь в	2	6
424	происходит в	3	6
425	ни для	2	6
426	чем мы	2	6
427	говорить о	7	6
428	тем самым	9	5
429	такие которые	2	5
430	к самому	3	5
431	нисколько не	2	5
432	и самого	2	5
433	тем более	8	5
434	и весь	2	5
435	от их	2	5
436	но только	10	5
437	на отдельные	3	5
438	не вполне	3	5
439	с собой	6	5
440	когда он	2	5
441	не является	19	5
442	что мы	12	5
443	из него	2	5
444	чем в	2	5
445	находим в	3	5
446	для его	4	5
447	есть не	13	5
448	ничем не	2	5
449	с другими	6	5
450	с нею	2	5
451	совсем не	4	5
452	и когда	4	5
453	почти всегда	4	5
454	что слово	3	5
455	имеет в	2	5
456	и этот	3	5
457	ни было	5	5
458	сравнению с	3	5
459	и искусства	3	5
460	дело здесь	4	5
461	если мы	24	5
462	бы и	7	5
463	всяком случае	8	5
464	в человеческом	2	5
465	он сам	7	5
466	и только	10	5
467	же самое	20	5
468	в слове	4	5
469	бы не	2	5
470	от его	4	5
471	что дело	2	5
472	и сама	4	5
473	оказывается что	2	5
474	но даже	7	5
475	и всегда	2	5
476	всех других	2	5
477	без всякой	3	5
478	тут же	12	5
479	по сравнению	3	5
480	но уже	4	5
481	вообще не	5	5
482	сливаются в	2	5
483	раз и	6	5
484	подобного рода	13	5
485	есть элемент	3	5
486	все в	4	5
487	то в	4	5
488	на первом	2	5
489	стороны и	3	5
490	же как	5	5
491	мы в	6	5
492	лиц и	2	5
493	независимо от	4	5
494	мы имеем	7	5
495	только то	4	5
496	на свете	2	5
497	не к	2	5
498	на то	6	5
499	состоит из	6	4
500	ни о	8	4
501	действительности и	2	4
502	в известном	3	4
503	нельзя сказать	3	4
504	образности и	7	4
505	но если	12	4
506	здесь перед	2	4
507	но к	2	4
508	о себе	2	4
509	о которой	2	4
510	в античной	2	4
511	чтобы не	2	4
512	оно и	2	4
513	есть с	2	4
514	кажется что	2	4
515	что из	2	4
516	образ в	2	4
517	одной и	2	4
518	в отдельности	2	4
519	при всех	2	4
520	в контексте	3	4
521	дело с	3	4
522	к этой	2	4
523	вещи и	9	4
524	и больше	4	4
525	это есть	5	4
526	они являются	2	4
527	есть именно	9	4
528	ее на	2	4
529	именно здесь	2	4
530	да еще	3	4
531	но ведь	2	4
532	заключается в	8	4
533	если же	4	4
534	учение о	3	4
535	но для	3	4
536	со своим	2	4
537	и именно	2	4
538	и притом	7	4
539	о которых	3	4
540	что даже	6	4
541	не так	8	4
542	заметить что	2	4
543	же не	2	4
544	который в	2	4
545	быть и	3	4
546	одно и	4	4
547	только и	9	4
548	это вовсе	5	4
549	однако и	2	4
550	имеется в	7	4
551	говорят о	4	4
552	которых мы	2	4
553	этот вопрос	3	4
554	только не	6	4
555	внимание на	2	4
556	он только	2	4
557	один и	2	4
558	и своего	2	4
559	мы и	5	4
560	без всякого	8	4
561	в очень	2	4
562	роль и	2	4
563	есть нечто	22	4
564	и тем	16	4
565	его от	3	4
566	когда в	4	4
567	о его	3	4
568	и той	2	4
569	там и	4	4
570	образ и	4	4
571	к ней	2	4
572	и вполне	9	4
573	нами в	2	4
574	каждый раз	7	4
575	и значение	3	4
576	ничто не	2	4
577	ни на	5	4
578	новых и	2	4
579	на нем	3	4
580	в смысле	2	4
581	время и	2	4
582	по себе	36	4
583	нашего анализа	2	4
584	в каком	9	3
585	он есть	2	3
586	само собой	3	3
587	на новый	2	3
588	это только	2	3
589	друг от	3	3
590	она не	3	3
591	сказать и	2	3
592	в художественном	5	3
593	когда она	2	3
594	значение этого	2	3
595	которая не	3	3
596	xix и	2	3
597	не что	6	3
598	иной раз	5	3
599	не о	2	3
600	много и	2	3
601	в наших	3	3
602	что иное	6	3
603	чем не	4	3
604	ни к	3	3
605	значение которое	2	3
606	именно потому	3	3
607	к одной	2	3
608	мы говорим	8	3
609	которое в	3	3
610	от друга	3	3
611	и после	2	3
612	и всякий	5	3
613	просто в	2	3
614	указывает на	13	3
615	доходит до	2	3
616	этот путь	2	3
617	в одно	4	3
618	в буквальном	4	3
619	тому что	5	3
620	даже при	2	3
621	разного рода	4	3
622	не знаем	2	3
623	равно как	2	3
624	быть в	2	3
625	есть такое	4	3
626	эти слова	2	3
627	этом мы	3	3
628	бы то	5	3
629	есть то	5	3
630	же это	2	3
631	с ней	5	3
632	бы к	3	3
633	что его	3	3
634	он является	5	3
635	время как	6	3
636	явлений и	3	3
637	не существует	6	3
638	основная особенность	2	3
639	слова но	3	3
640	из того	3	3
641	для нее	2	3
642	иное как	6	3
643	что их	2	3
644	и тут	3	3
645	между собой	3	3
646	а с	2	3
647	нам в	2	3
648	не будет	3	3
649	является здесь	4	3
650	то ни	7	3
651	содержит в	13	3
652	эти два	2	3
653	какой бы	2	3
654	за ним	2	3
655	нашего исследования	2	3
656	которого мы	2	3
657	или иных	7	3
658	и весьма	3	3
659	является не	2	3
660	и хотя	3	3
661	ясно что	11	3
662	будто бы	7	3
663	этом смысле	5	3
664	и об	3	3
665	правды и	2	3
666	иначе чем	2	3
667	здесь нам	2	3
668	что именно	3	3
669	бы он	2	3
670	с которой	2	3
671	котором он	2	3
672	и может	4	3
673	тех или	10	3
674	всегда можно	2	3
675	гораздо больше	2	3
676	то это	13	3
677	и тогда	3	3
678	себе все	2	3
679	речи в	2	3
680	уже давно	3	3
681	от всякого	3	3
682	жизни но	2	3
683	не есть	57	3
684	только благодаря	2	3
685	они вовсе	2	3
686	в эстетике	2	3
687	так чтобы	2	3
688	то его	2	3
689	к их	2	3
690	но когда	3	3
691	к какому	2	3
692	мы все	5	3
693	природы и	3	3
694	образа и	4	3
695	чем он	2	3
696	ровно ничего	2	3
697	и сами	3	3
698	находятся в	5	2
699	при помощи	13	2
700	как же	3	2
701	мы должны	13	2
702	действия и	2	2
703	а и	2	2
704	и поэтому	3	2
705	бы мы	2	2
706	то мы	3	2
707	бы его	2	2
708	мы сейчас	4	2
709	с самим	4	2
710	от нас	3	2
711	только тогда	2	2
712	никак нельзя	4	2
713	а только	9	2
714	и непосредственно	3	2
715	произведение в	2	2
716	и прочие	2	2
717	этим не	2	2
718	о необходимости	2	2
719	для самого	2	2
720	бы быть	5	2
721	при таком	2	2
722	не имели	2	2
723	в меру	2	2
724	которые находятся	2	2
725	понимать как	4	2
726	вовсе еще	2	2
727	всей его	2	2
728	учения о	2	2
729	что такое	4	2
730	на что-то	3	2
731	из себя	5	2
732	это так	2	2
733	есть чисто	2	2
734	если не	7	2
735	в настоящем	3	2
736	это можно	2	2
737	то ли	2	2
738	это же	4	2
739	это вполне	2	2
740	как таковое	2	2
741	метафоры и	4	2
742	еще на	2	2
743	с которыми	2	2
744	входящих в	2	2
745	если оно	3	2
746	на свою	2	2
747	понятий в	2	2
748	это тоже	4	2
749	говорили выше	2	2
750	что всякий	14	2
751	человеческой жизни	4	2
752	мы его	2	2
753	на сцене	2	2
754	можно ли	8	2
755	том или	6	2
756	всегда есть	6	2
757	с теми	2	2
758	свое произведение	2	2
759	человеческую жизнь	2	2
760	о каком	2	2
761	что каждая	2	2
762	нет в	2	2
763	и действительно	2	2
764	что если	3	2
765	это суждение	2	2
766	нам кажется	2	2
767	гоголя и	5	2
768	и мышления	3	2
769	мертвые души	2	2
770	нет никакой	4	2
771	не говорят	2	2
772	в самых	3	2
773	еще только	3	2
774	оно всегда	3	2
775	античной мифологии	2	2
776	уже во	2	2
777	ли можно	2	2
778	все дело	2	2
779	в первую	3	2
780	дело вовсе	2	2
781	ее и	2	2
782	очень мало	2	2
783	и самой	4	2
784	теми или	3	2
785	а его	2	2
786	не являются	4	2
787	может иметь	4	2
788	общего с	3	2
789	гораздо более	6	2
790	мы назвали	2	2
791	или ином	3	2
792	есть тот	2	2
793	и всякого	2	2
794	деле здесь	2	2
795	то чего	2	2
796	можно даже	2	2
797	а ведь	4	2
798	есть он	2	2
799	но вот	4	2
800	именно к	3	2
801	широком смысле	2	2
802	об его	7	2
803	имели в	2	2
804	в природе	2	2
805	в нашей	4	2
806	таких случаях	2	2
807	что вся	2	2
808	сознания и	2	2
809	только к	4	2
810	и нет	2	2
811	отличается от	8	2
812	общего и	8	2
813	с людьми	2	2
814	или как	4	2
815	и самым	2	2
816	отвлеченной мысли	2	2
817	случае нельзя	2	2
818	понятия и	2	2
819	ни от	4	2
820	которые уже	2	2
821	никакого отношения	4	2
822	сам по	11	2
823	не обходится	2	2
824	указание на	2	2
825	другом случае	2	2
826	многих других	2	2
827	что под	2	2
828	нас и	2	2
829	которые мы	5	2
830	героя в	2	2
831	здесь уже	2	2
832	от всякой	3	2
833	только он	2	2
834	не можем	5	2
835	что оно	4	2
836	его только	2	2
837	более не	2	2
838	случае не	7	2
839	этом случае	8	2
840	которая является	2	2
841	себе представить	2	2
842	отвлеченным понятием	2	2
843	есть ее	4	2
844	вернуться к	2	2
845	это значение	2	2
846	такого же	2	2
847	которое мы	5	2
848	но также	2	2
849	только о	3	2
850	нашем смысле	8	2
851	как только	3	2
852	и является	6	2
853	в самих	2	2
854	человеческих отношений	4	2
855	что при	5	2
856	целое и	4	2
857	жизни а	4	2
858	только как	3	2
859	ничего общего	7	2
860	сейчас в	2	2
861	звездное небо	2	2
862	однако не	4	2
