N	3gram	Propp_Isto	Dialekti
1	и т д	35	75
2	в том что	6	25
3	не может быть	8	18
4	не что иное	3	18
5	что иное как	3	18
6	само по себе	2	16
7	тем не менее	7	16
8	т д и	2	14
9	о том что	5	12
10	с другой стороны	7	12
11	на то что	5	11
12	есть не что	2	11
13	иметь в виду	2	9
14	подобно тому как	3	9
15	в то время	3	8
16	то время как	3	8
17	точно так же	8	7
18	в связи с	5	7
19	более или менее	5	6
20	в зависимости от	3	6
21	с одной стороны	7	6
22	на самом деле	2	5
23	до сих пор	11	5
24	и тем не	2	5
25	потому что он	2	5
26	то же самое	3	4
27	т д все	3	4
28	мы уже знаем	3	4
29	так же как	6	4
30	по себе а	2	4
31	то ясно что	2	4
32	т д но	2	4
33	можно было бы	5	4
34	бы то ни	2	3
35	с самого начала	4	3
36	если бы мы	2	3
37	это конечно не	2	3
38	что это за	5	3
39	один из видов	2	3
40	и должно быть	2	3
41	и в нем	2	3
42	не только в	5	3
43	о том как	2	3
44	как будто бы	2	3
45	но все же	7	3
46	что он не	4	2
47	но так как	2	2
48	мы не можем	3	2
49	не то же	4	2
50	вопрос о том	2	2
51	друг с другом	3	2
52	дело не в	2	2
53	руки и ноги	2	2
54	уже знаем что	2	2
55	это может быть	2	2
56	как один из	2	2
57	в это время	2	2
58	в чистом виде	2	2
59	на первый взгляд	2	2
60	кроме того есть	2	2
61	очень много но	2	2
62	мы видим что	12	2
63	дело в том	3	2
64	но они не	3	2
65	это не может	2	2
66	и вместе с	2	2
