N	3gram	Voloshinov	Problema
1	в том что	2	37
2	в данном случае	2	28
3	с точки зрения	5	25
4	с другой стороны	2	25
5	не что иное	2	14
6	что иное как	2	14
7	ничего общего с	2	13
8	того или иного	2	13
9	не может быть	4	12
10	есть не что	2	11
11	с одной стороны	2	11
12	с самого начала	2	7
13	чем иным как	2	7
14	не чем иным	2	7
15	и то же	2	6
16	есть прежде всего	3	6
17	в самом деле	2	6
18	одно и то	3	5
19	в зависимости от	2	5
20	до тех пор	4	4
21	представим себе что	2	3
22	по отношению к	3	2
23	в г в	2	2
