N	3gram	Losev_Dial	Analitik
1	в том что	12	25
2	не может быть	4	19
3	в то же	7	16
4	о том что	6	15
5	той или иной	4	14
6	то же время	8	14
7	к тому же	2	13
8	с одной стороны	3	9
9	с другой стороны	7	9
10	по крайней мере	11	9
11	в этом отношении	2	8
12	не только в	2	8
13	с точки зрения	18	8
14	во всяком случае	3	7
15	что иное как	4	7
16	в таком случае	2	7
17	тем не менее	3	6
18	не что иное	4	6
19	так или иначе	3	6
20	есть не что	3	5
21	в той или	3	5
22	в самом деле	3	4
23	не в том	2	4
24	с той или	2	4
25	и в этом	4	4
26	в силу своей	2	4
27	в этом смысле	4	4
28	сама по себе	12	4
29	и т п	3	3
30	то же самое	3	3
31	содержит в себе	5	3
32	сам по себе	8	3
33	в связи с	3	3
34	можно сказать что	6	3
35	сами по себе	4	3
36	крайней мере в	3	3
37	в зависимости от	2	3
38	одно и то	8	2
39	что он не	2	2
40	и то же	8	2
41	ничего не говорит	4	2
42	более или менее	5	2
43	того и другого	2	2
44	можно было бы	4	2
45	к тому что	3	2
46	не есть ни	7	2
47	друг с другом	2	2
48	внутреннего и внешнего	8	2
49	до сих пор	4	2
50	на первый взгляд	2	2
51	на то что	4	2
52	в широком смысле	2	2
53	что не есть	3	2
