N	2gram	Bakhtin_sl	Problemy
1	и в	69	106
2	и не	32	90
3	как бы	16	70
4	может быть	40	66
5	в его	19	56
6	в этом	21	52
7	в нем	44	51
8	не может	27	49
9	чужое слово	11	49
10	что он	2	44
11	как и	8	44
12	но и	37	40
13	точки зрения	24	40
14	для него	8	39
15	и его	45	39
16	а не	29	38
17	о себе	2	37
18	не только	37	36
19	то же	17	36
20	в пределах	27	35
21	то что	2	33
22	но в	13	33
23	прежде всего	14	32
24	чужого слова	42	29
25	в то	17	29
26	все это	14	29
27	он не	5	29
28	и все	9	28
29	не в	14	27
30	в одном	4	27
31	же время	15	26
32	к нему	7	25
33	в сущности	18	25
34	с точки	11	25
35	и т	56	25
36	в самом	6	25
37	и с	10	25
38	не как	4	24
39	героя и	5	24
40	вовсе не	16	24
41	рядом с	7	23
42	слова и	21	23
43	и на	17	23
44	таким образом	16	22
45	в каждом	5	22
46	по себе	4	22
47	как мы	15	21
48	там где	10	21
49	никогда не	9	20
50	все же	10	20
51	потому что	2	20
52	только в	9	20
53	что в	3	19
54	с его	8	19
55	отношению к	2	19
56	слова в	19	19
57	на самом	2	18
58	в себе	3	18
59	по отношению	2	18
60	т п	49	18
61	о нем	6	18
62	все эти	15	18
63	уже не	5	18
64	еще не	9	18
65	но не	7	18
66	это не	8	17
67	в том	7	17
68	так и	22	17
69	а в	10	17
70	и к	9	17
71	с ним	12	17
72	так же	2	16
73	в другом	4	16
74	в своей	8	16
75	до конца	25	15
76	чужим словом	20	15
77	и наконец	9	15
78	и для	7	15
79	у него	5	15
80	в отношении	9	14
81	по замыслу	2	14
82	так как	7	14
83	в своем	9	14
84	лишь в	6	14
85	и сам	4	14
86	слово героя	2	14
87	как раз	3	14
88	а как	3	14
89	его в	7	13
90	перед нами	7	13
91	героя в	2	13
92	в романе	64	13
93	большинстве случаев	11	13
94	в целом	3	13
95	себя и	2	13
96	в романах	3	13
97	с другими	8	13
98	но все	2	13
99	в большинстве	16	13
100	точка зрения	10	13
101	том что	6	12
102	в одной	2	12
103	слово в	18	12
104	даже в	4	12
105	в плане	11	12
106	ничего не	5	12
107	чужому слову	6	12
108	так что	2	12
109	к тому	3	12
110	между тем	5	12
111	не знает	3	12
112	что и	2	12
113	при этом	12	12
114	было бы	3	12
115	во всяком	9	12
116	так сказать	11	12
117	но это	3	12
118	за пределы	6	12
119	и даже	11	12
120	и как	3	12
121	и слово	4	12
122	как в	18	12
123	отношении к	9	12
124	авторское слово	6	12
125	в котором	2	12
126	к чужому	9	12
127	и что	2	12
128	не могут	7	11
129	в форме	3	11
130	слово и	5	11
131	пределах одного	8	11
132	сливается с	6	11
133	она не	8	11
134	дело идет	2	11
135	этого слова	2	11
136	бы и	6	11
137	должно быть	3	11
138	или как	4	11
139	с другой	8	11
140	более того	5	11
141	входит в	8	11
142	своему предмету	6	11
143	мы уже	4	11
144	отношение к	8	10
145	в него	9	10
146	авторского слова	2	10
147	с чужим	15	10
148	в речах	3	10
149	слово не	3	10
150	до сих	4	10
151	слова с	3	10
152	сих пор	4	10
153	лишь как	3	10
154	далеко не	7	10
155	свой предмет	3	10
156	приводит к	2	10
157	той же	3	10
158	в слове	11	10
159	и потому	9	9
160	или в	10	9
161	могут быть	25	9
