N	2gram	Bakhtin_KF	RusskieA
1	и в	28	79
2	в том	6	64
3	том что	4	59
4	что в	4	57
5	не только	5	41
6	в этом	15	33
7	как бы	9	31
8	но и	9	31
9	как и	5	28
10	может быть	45	28
11	и на	3	28
12	о том	3	23
13	при этом	4	22
14	это не	10	20
15	а в	5	20
16	все это	10	18
17	с тем	2	17
18	потому что	2	17
19	то что	7	17
20	мы не	3	16
21	один из	2	15
22	для нас	4	14
23	не менее	3	14
24	тем не	2	14
25	и не	28	14
26	к этому	2	13
27	не может	29	13
28	еще не	5	13
29	как в	2	13
30	уже не	7	13
31	в виде	2	12
32	мы имеем	5	12
33	тем что	3	12
34	но это	6	11
35	не имеет	6	11
36	его в	5	10
37	и других	2	10
38	так и	2	10
39	между тем	4	10
40	все же	5	10
41	что и	7	10
42	но в	5	9
43	и все	9	9
44	то же	5	9
45	но не	12	9
46	того что	3	8
47	в данном	2	8
48	того чтобы	2	8
49	что это	4	8
50	во всех	11	8
51	для того	3	8
52	в своем	17	7
53	ничего не	3	7
54	не в	13	7
55	а с	2	7
56	к нему	12	7
57	было бы	8	7
58	до конца	3	7
59	с этого	2	7
60	для этого	2	7
61	в это	2	7
62	и как	2	7
63	только в	18	7
64	а не	17	7
65	в этой	2	6
66	и их	6	6
67	в их	9	6
68	тому что	2	6
69	она не	2	6
70	что этот	3	6
71	в нем	32	6
72	с ними	4	6
73	все эти	11	6
74	в качестве	2	6
75	в одном	5	6
76	и пр	3	6
77	на самом	3	5
78	вопрос о	2	5
79	и потому	2	5
80	к себе	2	5
81	тогда когда	3	5
82	что он	2	5
83	прежде всего	4	5
84	к ним	4	5
85	в свою	3	5
86	в то	3	5
87	в целом	10	5
88	там где	5	5
89	не было	8	5
90	тот же	3	5
91	в его	42	5
92	его с	2	5
93	ничего общего	2	5
94	и для	10	5
95	входит в	4	5
96	отнюдь не	7	5
97	с ним	5	5
98	и ее	2	4
99	но есть	2	4
100	здесь мы	4	4
101	его и	2	4
102	могут быть	3	4
103	и под	2	4
104	во всей	4	4
105	этого слова	2	4
106	в основе	5	4
107	по своему	3	4
108	дело не	2	4
109	и здесь	7	4
110	та же	3	4
111	но все	6	4
112	именно в	5	4
113	в котором	24	4
114	в своих	4	4
115	в ней	3	4
116	во всем	7	4
117	на основе	7	4
118	никогда не	5	3
119	чтобы не	2	3
120	всех этих	3	3
121	но можно	4	3
122	ее и	6	3
123	его к	2	3
124	это и	3	3
125	в виду	3	3
126	только по	2	3
127	мы здесь	3	3
128	и это	12	3
129	точки зрения	13	3
130	в области	2	3
131	совсем не	2	3
132	в ее	17	3
133	в своей	11	3
134	нет и	3	3
135	место в	6	3
136	вся эта	2	3
137	нечто вроде	2	3
138	и то	2	3
139	независимо от	3	3
140	по отношению	26	3
141	от этого	2	3
142	если бы	8	3
143	для этой	3	3
144	жизни в	5	3
145	отношению к	22	3
146	жизнь и	2	3
147	не имеем	3	3
148	думать что	2	3
149	слова в	2	3
150	и этим	3	3
151	из которых	2	3
152	с точки	10	3
153	сводится к	2	3
154	здесь не	3	3
155	только как	4	3
156	и его	18	3
157	но ни	2	3
158	быть и	3	3
159	время и	5	2
160	ясно и	3	2
161	ее до	2	2
162	могло бы	4	2
163	в себе	21	2
164	от него	3	2
165	вокруг него	2	2
166	с другим	4	2
167	этим не	2	2
168	не как	4	2
169	отношение к	6	2
170	должен быть	7	2
171	и тем	3	2
172	а как	2	2
173	под ним	2	2
174	ни одно	5	2
175	и за	2	2
176	в момент	3	2
177	самом деле	3	2
178	тем как	3	2
179	может иметь	2	2
180	в него	2	2
181	только с	3	2
182	в ту	2	2
183	ко всему	5	2
184	людей и	3	2
185	ни одна	2	2
186	не дает	3	2
187	и когда	2	2
188	себя и	5	2
189	общего не	2	2
190	для него	13	2
191	с его	2	2
192	и должна	3	2
193	он не	6	2
194	нет в	4	2
195	место и	2	2
196	как оно	2	2
197	дело в	2	2
198	в каждом	3	2
199	должно быть	6	2
200	его как	5	2
201	из нее	2	2
202	ее от	2	2
203	совершенно не	7	2
204	смысле в	2	2
205	быть только	8	2
206	что есть	2	2
207	но нет	2	2
208	в жизни	2	2
209	вытекает из	2	2
210	дело здесь	2	2
211	в чем	4	2
212	не значит	6	2
213	оно не	2	2
214	быть не	2	2
215	по себе	2	2
216	и действительно	6	2
217	и всех	2	2
218	раз и	2	2
219	чтобы быть	2	2
220	что эта	2	2
221	говорить о	2	2
222	как его	4	2
223	но эта	6	2
