N	3gram	Savitsky_E	KulturaY
1	для того чтобы	5	38
2	с точки зрения	16	36
3	в том что	6	33
4	можно было бы	3	25
5	во всяком случае	3	19
6	с другой стороны	2	17
7	в этом отношении	3	11
8	не может быть	2	11
9	в этом смысле	3	10
10	того или иного	4	9
11	не только в	4	8
12	само по себе	4	8
13	только в том	2	7
14	с одной стороны	8	7
15	в свою очередь	2	7
16	в то же	15	6
17	той или иной	4	6
18	хотя бы и	3	6
19	этой точки зрения	5	6
20	то же время	14	6
21	не говоря уже	2	6
22	так и в	2	5
23	в данном случае	2	5
24	и в этом	4	5
25	с этой точки	5	5
26	хотя бы в	2	5
27	как мы видели	2	5
28	заключается в том	2	4
29	так же как	5	4
30	на то что	2	4
31	того что в	2	3
32	в известном смысле	3	3
33	к тому чтобы	2	3
34	сплошь и рядом	2	3
35	и прежде всего	3	2
36	бы то ни	4	2
37	с течением времени	2	2
38	прежде всего в	2	2
39	в применении к	3	2
40	друг от друга	2	2
41	из того что	2	2
42	в большинстве случаев	2	2
43	не более чем	2	2
44	в одном из	2	2
45	рано или поздно	2	2
46	можно сказать что	3	2
47	и в то	8	2
48	по себе не	2	2
49	в той или	3	2
50	по сравнению с	2	2
