N	2gram	Losev_Vlad	Komedia
1	и в	56	77
2	и не	33	47
3	в том	26	44
4	том что	22	42
5	в г	2	33
6	о том	13	33
7	едва ли	3	32
8	но и	26	32
9	может быть	12	30
10	таким образом	6	29
11	из них	3	29
12	в то	15	28
13	и его	12	28
14	в этом	30	27
15	потому что	16	27
16	что он	22	26
17	к тому	5	26
18	не только	35	25
19	тому же	3	25
20	вместе с	9	25
21	так как	11	24
22	как и	7	23
23	в доме	7	23
24	ни в	4	23
25	что в	24	23
26	что и	6	22
27	если бы	2	22
28	в самом	3	22
29	в конце	22	21
30	так и	11	21
31	а в	20	21
32	то же	10	21
33	ясно что	2	21
34	в его	18	20
35	со стороны	5	19
36	во время	4	19
37	к этому	11	19
38	молодой человек	2	18
39	в этой	4	18
40	и т	3	17
41	тем что	2	17
42	еще не	2	17
43	и здесь	3	17
44	в нем	7	17
45	же время	7	17
46	все же	11	16
47	у него	28	16
48	не менее	9	16
49	при этом	5	16
50	тот же	7	16
51	и сам	7	16
52	он не	13	16
53	его в	3	15
54	в своем	10	15
55	не в	12	15
56	точки зрения	4	15
57	прежде всего	5	15
58	один из	4	15
59	на себя	3	15
60	было бы	7	15
61	в которой	8	15
62	и на	7	15
63	к нему	6	14
64	все это	7	14
65	об этом	13	14
66	в свою	3	14
67	и с	27	14
68	о чем	6	13
69	то что	30	13
70	так что	13	13
71	но в	19	13
72	того же	11	13
73	в них	5	13
74	того чтобы	4	13
75	что она	2	13
76	только что	2	13
77	в одном	2	13
78	как раз	7	13
79	так же	4	12
80	с другой	3	12
81	для того	4	12
82	как это	11	12
83	уже в	9	12
84	несмотря на	7	12
85	не по	2	12
86	в качестве	7	12
87	в истории	4	12
88	хотя и	9	12
89	в начале	7	12
90	не может	12	12
91	как в	6	12
92	но не	5	12
93	в котором	10	12
94	в их	2	11
95	в частности	4	11
96	с тем	4	11
97	что его	8	11
98	как мы	17	11
99	то время	6	11
100	к ней	7	11
101	и даже	23	11
102	на этот	9	11
103	и для	4	11
104	с ним	10	11
105	в отношении	5	10
106	в целом	3	10
107	к себе	2	10
108	отношение к	7	10
109	ничего не	4	10
110	на основании	3	10
111	одной из	2	10
112	и все	8	10
113	в чем	4	10
114	что касается	6	10
115	на его	7	10
116	мы не	2	10
117	же в	3	10
118	он был	20	10
119	свою очередь	2	10
120	с его	15	10
121	тут же	7	10
122	с этим	3	10
123	тем более	4	10
124	на него	3	10
125	как бы	5	10
126	еще в	5	10
127	и что	11	10
128	в тех	3	9
129	ответ на	2	9
130	и особенно	6	9
131	о его	7	9
132	и по	10	9
133	даже не	3	9
134	из его	6	9
135	в своей	7	9
136	того как	2	9
137	а также	12	9
138	и еще	3	9
139	больше чем	2	9
140	судя по	2	9
141	время как	3	9
142	но все	3	9
143	все что	2	9
144	друг друга	3	9
145	вовсе не	8	9
146	только в	11	9
