N	3gram	Losev_Vesc	Komedia
1	в том что	9	29
2	то же время	4	16
3	в то же	5	16
4	о том что	4	13
5	в самом деле	7	13
6	для того чтобы	2	11
7	в то время	4	11
8	в свою очередь	5	10
9	то время как	4	9
10	с одной стороны	3	9
11	вместе с тем	3	9
12	с другой стороны	3	8
13	то ни было	12	7
14	бы то ни	12	7
15	в конце концов	2	7
16	во всяком случае	2	7
17	так или иначе	5	7
18	с точки зрения	6	6
19	и т д	36	5
20	в этом отношении	2	5
21	том что он	2	5
22	о том как	4	5
23	тем не менее	11	5
24	т е в	7	4
25	к тому что	2	4
26	можно было бы	3	4
27	но все же	2	4
28	по сравнению с	7	4
29	более или менее	4	3
30	в чем же	5	3
31	друг с другом	2	3
32	то что он	2	3
33	на то что	7	3
34	равно как и	4	3
35	подобно тому как	5	2
36	в первом случае	2	2
37	в здравом уме	2	2
38	а затем и	2	2
39	то что не	2	2
40	не только в	5	2
41	в основе своей	2	2
42	в отношении к	2	2
43	так же как	2	2
44	и таким образом	2	2
45	этой точки зрения	3	2
46	в этом смысле	2	2
47	с этой точки	3	2
48	и в то	3	2
49	у нас в	2	2
50	и даже не	3	2
