N	3gram	Vygotskiy_	formyVre
1	и т п	23	32
2	то же время	2	21
3	в то же	2	18
4	в связи с	2	15
5	с точки зрения	12	15
6	для того чтобы	11	12
7	до сих пор	8	10
8	в этом отношении	7	7
9	и т д	10	7
10	в отличие от	4	7
11	не может быть	14	7
12	с одной стороны	6	6
13	в том что	21	5
14	как и в	5	5
15	то есть в	2	5
16	в то время	6	5
17	то время как	6	4
18	и во всех	2	4
19	с другой стороны	7	4
20	во всяком случае	7	4
21	все то что	3	3
22	и в частности	2	3
23	то же самое	8	3
24	в зависимости от	6	3
25	о том что	9	3
26	так и в	2	3
27	вместе с тем	3	3
28	так же как	8	3
29	что в этом	3	3
30	сами по себе	4	3
31	же как и	2	3
32	по сравнению с	3	3
33	оно не может	2	2
34	слова то есть	2	2
35	что в таком	2	2
36	не было бы	3	2
37	к тому что	2	2
38	можно сказать что	2	2
39	с тем что	2	2
40	и в поэзии	2	2
41	в основе своей	2	2
42	т п в	2	2
43	только на почве	3	2
44	что и в	5	2
45	лежит в основе	2	2
46	и в самом	3	2
47	т п все	2	2
48	в свою очередь	3	2
49	таким образом и	3	2
