N	2gram	Losev_Prob	VelikijI
1	и не	29	20
2	и в	48	16
3	свободы и	4	12
4	так как	10	9
5	то что	26	9
6	еще не	4	8
7	и потому	4	7
8	на земле	11	7
9	что они	4	7
10	а не	7	7
11	к людям	5	6
12	не есть	3	6
13	человека и	4	6
14	как бы	10	5
15	на себя	2	5
16	но и	21	5
17	все это	8	5
18	хотя и	10	5
19	того что	8	5
20	нет у	2	4
21	в силах	3	4
22	и все	12	4
23	как и	10	4
24	добра и	2	4
25	в котором	5	4
26	потому что	21	4
27	все что	2	4
28	в нем	8	4
29	в образе	2	4
30	в ней	4	4
31	что не	3	4
32	что мы	4	4
33	в его	19	4
34	о великом	2	4
35	в этом	31	4
36	что он	12	4
37	и есть	4	4
38	так и	15	4
39	никогда не	7	3
40	в жизни	4	3
41	что в	12	3
42	в том	25	3
43	и для	11	3
44	от этого	4	3
45	не имеет	3	3
46	тому что	2	3
47	за то	4	3
48	но в	17	3
49	к тому	7	3
50	ни в	17	3
51	нет ничего	3	3
52	но это	7	3
53	хотя бы	11	3
54	в своей	29	3
55	во всех	2	3
56	нас и	4	3
57	в конце	10	3
58	по этому	5	3
59	в них	5	3
60	жизни и	7	3
61	что и	8	3
62	не было	4	3
63	если не	6	3
64	людей в	6	3
65	и что	9	3
66	не в	16	3
67	все эти	12	3
68	что во	2	3
69	в этих	3	3
70	и они	3	3
71	в чем	3	3
72	тот же	6	3
73	с его	3	3
74	и то	6	2
75	с тем	7	2
76	да и	5	2
77	они и	2	2
78	не так	4	2
79	но не	12	2
80	нет и	3	2
81	на тебя	2	2
82	не хотел	2	2
83	не могли	2	2
84	тот кто	2	2
85	и это	3	2
86	это не	8	2
87	ее в	2	2
88	не только	28	2
89	не могут	3	2
90	а в	8	2
91	том что	29	2
92	для человека	2	2
93	мир и	2	2
94	что от	3	2
95	его к	2	2
96	и во	2	2
97	и люди	2	2
98	во всяком	7	2
99	и тогда	4	2
100	огонь с	2	2
101	вслед за	2	2
102	уже не	12	2
103	могут быть	2	2
104	не к	3	2
105	в духе	4	2
106	который тоже	2	2
107	один из	2	2
108	в человека	3	2
109	для их	2	2
110	не будет	4	2
111	для них	3	2
112	почему в	2	2
113	того чтобы	3	2
114	людей не	3	2
115	и никогда	3	2
116	мира в	3	2
117	духа и	2	2
118	тем что	2	2
119	мы не	7	2
120	конечно не	2	2
121	земли и	2	2
122	можно было	4	2
123	уже на	2	2
124	это все	2	2
125	только в	21	2
126	верит в	4	2
127	до того	3	2
128	у людей	5	2
129	и сам	5	2
130	и за	2	2
131	для нас	14	2
132	для людей	4	2
133	людей и	13	2
134	прежде всего	15	2
135	и т	2	2
136	с ним	4	2
137	его не	3	2
138	это мы	2	2
139	между тем	2	2
140	мы и	2	2
141	а с	4	2
142	для него	2	2
