N	3gram	Medvedev_V	Dialekti
1	и т д	16	75
2	по крайней мере	2	26
3	в том что	5	25
4	не может быть	8	18
5	то же время	5	15
6	в то же	5	14
7	о том что	3	12
8	с другой стороны	8	12
9	т е в	2	10
10	иметь в виду	2	9
11	подобно тому как	3	9
12	это и есть	3	9
13	не только не	2	8
14	только то что	2	8
15	та или иная	3	8
16	можно сказать что	4	7
17	не в том	2	7
18	в связи с	4	7
19	более или менее	6	6
20	для того чтобы	3	6
21	во всяком случае	2	6
22	в зависимости от	5	6
23	с одной стороны	2	6
24	и в то	3	6
25	в конце концов	2	5
26	от того что	2	5
27	до сих пор	2	5
28	к тому что	4	5
29	одному тому что	2	4
30	и т п	9	4
31	этой точки зрения	2	4
32	одной стороны и	2	4
33	в этом отношении	14	4
34	можно было бы	2	4
35	не могут быть	4	4
36	уже по одному	2	4
37	по одному тому	2	4
38	не может не	2	4
39	равно как и	4	4
40	в силу этого	4	3
41	в чем же	2	3
42	не только в	2	3
43	не было бы	4	3
44	о том как	3	3
45	и не может	2	3
46	не рождается из	2	2
47	хотя бы в	3	2
48	бы и не	3	2
49	говорить не о	2	2
50	хотя бы и	5	2
