N	2gram	Medvedev_V	Sotsiolo
1	все это	13	7
2	в том	15	5
3	в этом	29	5
4	не только	26	3
5	в его	15	3
6	не в	6	3
7	и в	26	3
8	это и	6	2
9	должна быть	2	2
10	отношению к	7	2
11	по отношению	7	2
12	идей и	3	2
13	еще не	2	2
14	только в	8	2
15	что в	11	2
16	в частности	12	2
17	том что	8	2
18	было бы	8	2
19	таким образом	32	2
20	то же	10	2
21	конце концов	2	2
22	то что	7	2
23	и заключается	2	2
24	как бы	5	2
25	но и	10	2
26	главным образом	7	2
27	очевидно что	7	2
28	в конце	3	2
29	далеко не	3	2
30	может быть	23	2
31	по существу	4	2
32	в результате	5	2
