N	2gram	Ircho_Kome	Mirosoze
1	и в	37	97
2	может быть	14	64
3	не только	13	63
4	в этом	18	55
5	но и	18	54
6	он не	11	53
7	а не	5	53
8	в нем	8	49
9	не может	9	49
10	у него	10	47
11	и не	28	39
12	никогда не	5	38
13	потому что	19	37
14	в ней	7	37
15	не было	6	36
16	не в	7	34
17	и есть	3	33
18	человека в	4	30
19	но он	3	30
20	прежде всего	7	29
21	как и	10	29
22	но в	7	27
23	и он	5	27
24	в мире	2	27
25	человека и	2	26
26	к человеку	2	26
27	и это	4	25
28	в своей	6	25
29	он был	6	25
30	и все	6	24
31	в своем	9	23
32	что в	11	23
33	что он	15	22
34	в самом	17	21
35	в себе	4	20
36	отношение к	7	20
37	до конца	4	19
38	как бы	7	19
39	в его	12	18
40	и потому	2	17
41	любви к	5	17
42	в том	24	16
43	том что	22	16
44	то что	5	16
45	было бы	7	16
46	на земле	2	16
47	и его	10	16
48	не был	2	15
49	в этой	7	15
50	не знает	7	15
51	в котором	6	15
52	нет ничего	4	14
53	в конце	14	14
54	она не	3	14
55	так как	16	14
56	и вот	3	13
57	друг друга	7	13
58	и на	6	13
59	это не	3	12
60	и у	4	12
61	к нему	8	12
62	в них	6	12
63	все это	7	12
64	но не	9	12
65	с тем	6	11
66	и там	3	11
67	любовь к	4	11
68	хотя бы	5	11
69	в которой	6	11
70	только в	3	11
71	был бы	4	11
72	как в	4	11
73	и для	7	11
74	и к	4	11
75	не могут	2	10
76	для человека	2	10
77	так же	8	10
78	один из	6	10
79	должна быть	2	10
80	то же	14	10
81	не имеет	6	10
82	а в	12	9
83	к тому	11	9
84	не будет	2	9
85	что и	12	9
86	и во	3	9
87	из самых	2	9
88	я не	4	9
89	х годов	2	9
90	все что	6	9
91	в свою	12	9
92	с ним	10	9
93	не мог	2	9
94	вместе с	16	9
95	вопрос о	2	8
96	ничего не	6	8
97	от него	2	8
98	в этих	2	8
99	бог и	3	8
100	не так	4	8
101	они не	2	8
102	что не	5	8
103	того чтобы	9	8
104	в отношении	4	8
105	т е	18	8
106	с его	6	8
107	себя в	3	8
108	человека не	2	8
109	за пределы	3	8
110	тем что	12	8
111	для того	9	8
112	нет и	4	8
113	о том	21	8
114	и с	5	8
115	уже в	3	8
116	как он	5	7
117	более чем	6	7
118	высшей степени	2	7
119	но если	3	7
120	должен быть	2	7
121	он в	2	7
122	точки зрения	8	7
123	себя и	2	7
124	все еще	2	7
125	что она	10	7
126	на этом	3	7
127	в высшей	2	7
128	если он	3	7
129	от нее	5	7
130	отношения к	2	7
131	во всем	2	7
132	чем в	5	7
133	чтобы не	3	6
134	его в	9	6
135	или к	2	6
136	не как	2	6
137	на пути	2	6
138	людей и	2	6
139	в ее	3	6
140	его на	5	6
141	его не	3	6
142	в образе	5	6
143	должен был	6	6
144	того как	5	6
145	и от	3	6
146	там и	3	6
147	можно было	3	6
148	к ней	9	6
149	к концу	3	6
150	было в	2	6
151	если бы	18	6
152	бы не	3	6
153	с этой	5	6
154	же и	2	6
155	по своей	2	6
156	что у	2	6
157	на то	3	6
158	и здесь	11	6
159	в которых	7	6
160	и если	3	5
161	с собой	4	5
162	в то	14	5
163	в их	5	5
164	так и	4	5
165	все время	3	5
166	и я	3	5
167	до того	4	5
168	сказать что	4	5
169	тот же	11	5
170	во всяком	3	5
171	в основе	3	5
172	да и	3	5
173	одно из	3	5
174	и мы	5	5
175	с этим	5	5
176	и как	3	5
177	бы в	5	5
178	для этого	3	5
179	еще не	10	5
180	его и	3	5
181	как будто	3	5
182	сих пор	12	5
183	после того	3	5
184	когда он	5	5
185	хочет быть	2	5
186	перед ним	4	5
187	до сих	12	5
188	той же	2	5
189	любовь и	2	5
190	по отношению	6	4
191	как о	3	4
192	в каждом	3	4
193	сам не	2	4
194	с ума	3	4
195	к себе	9	4
196	от того	2	4
197	как к	3	4
198	не хочет	6	4
199	конце концов	3	4
200	не всегда	2	4
201	так что	7	4
202	к другому	2	4
203	а с	2	4
204	по своему	3	4
205	они были	2	4
206	в чем	7	4
207	по сравнению	3	4
208	а для	2	4
209	тому что	5	4
210	к этой	2	4
211	и этим	3	4
212	в центре	2	4
213	и тот	6	4
214	могут быть	3	4
215	живет в	2	4
216	в начале	5	4
217	мы видим	2	4
218	и до	2	4
219	что они	3	4
220	в истории	2	4
221	себе в	6	4
222	никто не	2	4
223	сам он	3	4
224	человека а	2	4
225	и даже	6	4
226	и по	3	4
227	стало быть	2	4
228	ни в	14	4
229	все равно	3	4
230	мы не	6	4
231	отношению к	4	4
232	время как	3	4
233	не случайно	3	4
234	еще более	4	4
235	в эпоху	2	4
236	в той	2	4
237	в своих	4	4
238	и что	8	4
239	то время	3	4
240	в свой	2	3
241	к его	4	3
242	остается в	3	3
243	о чем	11	3
244	приходит к	2	3
245	и поэтому	5	3
246	не остается	3	3
247	должны были	2	3
248	одним из	2	3
249	они ищут	2	3
250	с которым	3	3
251	и тем	4	3
252	все же	9	3
253	все его	2	3
254	что же	2	3
255	между тем	6	3
256	в уста	2	3
257	в виду	3	3
258	на его	5	3
259	такого отношения	2	3
260	и когда	2	3
261	которую он	3	3
262	всю свою	2	3
263	хотя и	6	3
264	из этой	2	3
265	и эта	2	3
266	то это	5	3
267	и еще	4	3
268	к этому	11	3
269	в которые	2	3
270	конечно не	4	3
271	об этом	12	3
272	как не	2	3
273	я и	2	3
274	принадлежат к	2	3
275	него в	3	3
276	для нас	7	3
277	со всеми	2	3
278	чем не	2	3
279	в пределах	3	3
280	во всех	4	3
281	не с	2	3
282	именно потому	2	3
283	на этот	6	3
284	только один	2	3
285	он знает	4	3
286	приводит к	4	3
287	в одном	3	3
288	со своей	2	3
289	ближе к	3	3
290	всяком случае	3	3
291	роль в	3	3
292	и жизнь	2	3
293	нет ни	2	3
294	сравнению с	3	3
295	и после	2	3
296	и всякий	2	3
297	не о	3	2
298	как ее	2	2
299	что их	4	2
300	не стал	2	2
301	как можно	2	2
302	из всех	3	2
303	если в	4	2
304	нисколько не	3	2
305	и любовь	2	2
306	возвращение к	2	2
307	на что	2	2
308	ему и	3	2
309	которой не	2	2
310	а как	2	2
311	же можно	2	2
312	от своего	2	2
313	такого рода	2	2
314	не надо	2	2
315	и был	2	2
316	к своему	4	2
317	после этого	2	2
318	нет никаких	2	2
319	которым он	2	2
320	самом деле	13	2
321	тем как	2	2
322	была бы	2	2
323	его от	5	2
324	он так	4	2
325	от них	2	2
326	не находит	2	2
327	не менее	9	2
328	она была	2	2
329	друг за	2	2
330	того же	9	2
331	он готов	2	2
332	и без	2	2
333	и сам	11	2
334	между ними	4	2
335	не столько	3	2
336	с которой	2	2
337	же не	3	2
338	начинает с	2	2
339	у кого	2	2
340	не сам	2	2
341	речи о	4	2
342	связи с	5	2
343	в сущности	3	2
344	е в	2	2
345	и ее	3	2
346	во время	8	2
347	в социальном	2	2
348	столь же	5	2
349	их в	3	2
350	между двумя	2	2
351	к соединению	2	2
352	бы он	3	2
353	у нее	2	2
354	также в	2	2
355	этом отношении	2	2
356	в глаза	3	2
357	целый ряд	5	2
358	и мысли	3	2
359	от своей	2	2
360	только для	2	2
361	и о	3	2
362	не по	7	2
363	в какой	4	2
364	но нет	2	2
365	человека с	2	2
366	с другой	5	2
367	прежде чем	4	2
368	в смысле	2	2
369	что я	5	2
370	во втором	2	2
371	из себя	3	2
372	ни у	2	2
373	выходя из	2	2
374	если не	7	2
375	он и	5	2
376	все к	2	2
377	что мы	4	2
378	свою вину	2	2
379	что эта	2	2
380	на помощь	4	2
381	доводит до	2	2
382	знаю что	2	2
