N	3gram	Voloshinov	Marksizm
1	с точки зрения	15	46
2	не может быть	14	25
3	в самом деле	10	19
4	в то же	6	15
5	по отношению к	11	15
6	то же время	6	15
7	в том что	9	14
8	бы то ни	3	12
9	и не может	3	12
10	то ни было	2	12
11	в высшей степени	6	12
12	для того чтобы	3	11
13	до сих пор	3	11
14	с самого начала	5	10
15	в отличие от	2	10
16	но в то	3	9
17	в большинстве случаев	5	9
18	то же самое	2	8
19	может быть и	6	8
20	в свою очередь	4	7
21	во всяком случае	8	6
22	на самом деле	4	6
23	если бы он	3	6
24	с одной стороны	2	6
25	как мы уже	5	6
26	и пр и	2	6
27	как мы видели	8	5
28	объективной точки зрения	2	5
29	в таком случае	4	5
30	в этом отношении	4	5
31	к тому что	2	5
32	пр и пр	2	5
33	на самом же	2	5
34	отнюдь не является	3	5
35	самом же деле	2	5
36	и прежде всего	7	4
37	мы уже знаем	3	4
38	том что он	2	4
39	можно сказать что	5	4
40	о том что	3	4
41	в узком смысле	2	4
42	в зависимости от	4	4
43	быть и речи	3	4
44	в применении к	2	3
45	тем не менее	4	3
46	на первый план	4	3
47	и тот же	3	3
48	в конце концов	2	3
49	в следующей главе	3	3
50	одной и той	3	3
51	не могут быть	4	3
52	с объективной точки	2	3
53	и той же	3	3
54	на этот вопрос	3	3
55	ни в какой	2	3
56	хотя бы и	2	3
57	и его формы	2	3
58	один и тот	3	3
59	в ее целом	4	3
60	внутренней и внешней	3	2
61	– это и	2	2
62	в чем же	2	2
63	во всех своих	3	2
64	ничего общего не	3	2
65	мы никогда не	2	2
66	таким образом в	2	2
67	так и в	3	2
68	в данном случае	4	2
69	в какой степени	2	2
70	мы видели что	3	2
71	в его целом	2	2
72	теперь мы должны	3	2
73	мы можем сказать	5	2
74	обратное влияние на	2	2
75	– все это	5	2
76	а следовательно и	2	2
77	во всех областях	2	2
78	в собственном смысле	3	2
79	и внешней речи	3	2
80	мы полагаем что	2	2
81	в этом смысле	2	2
82	нет и не	3	2
83	это и есть	2	2
