N	2gram	Voloshinov	VrazhdaK
1	не только	6	9
2	в этом	2	8
3	и в	13	8
4	что в	3	7
5	но и	3	7
6	и все	3	7
7	то что	6	7
8	но в	4	6
9	как и	3	6
10	в нем	2	6
11	все же	5	6
12	и не	8	5
13	то же	4	5
14	между тем	2	5
15	уже в	2	4
16	несмотря на	2	4
17	в своих	2	4
18	все это	4	4
19	при этом	2	4
20	в ней	2	4
21	как бы	6	4
22	так же	2	4
23	может быть	8	4
24	в том	2	3
25	в чем	2	3
26	и уже	3	3
27	том что	2	3
28	в его	7	3
29	в связи	2	3
30	и его	12	3
31	в этот	2	3
32	тем что	2	3
33	никогда не	3	2
34	и то	3	2
35	в них	2	2
36	и т.п	7	2
37	для него	2	2
38	с точки	5	2
39	а в	2	2
40	а также	2	2
41	в своей	4	2
42	в себе	3	2
43	точки зрения	7	2
44	таким образом	6	2
45	и ее	2	2
46	не может	8	2
47	не менее	2	2
48	его на	2	2
49	не мог	2	2
