N	3gram	Vinokur_Vv	Istorich
1	и т д	39	142
2	в этих случаях	2	47
3	с другой стороны	5	46
4	до сих пор	7	30
5	в этом случае	6	29
6	с одной стороны	4	28
7	в том что	15	25
8	не может быть	10	24
9	тем не менее	9	23
10	вместе с тем	3	23
11	но все же	4	23
12	точно так же	2	22
13	о том что	13	22
14	не только в	4	19
15	в связи с	2	17
16	после того как	2	15
17	в данном случае	4	15
18	мы уже знаем	2	15
19	по отношению к	4	14
20	как мы видели	3	12
21	что иное как	5	11
22	т е в	4	11
23	не что иное	5	11
24	можно было бы	4	10
25	но вместе с	2	8
26	то же самое	3	8
27	на этот вопрос	5	8
28	подобно тому как	2	8
29	в зависимости от	3	8
30	и то что	3	8
31	во всяком случае	5	7
32	потому что он	2	7
33	с тем что	3	7
34	смысле этого слова	2	7
35	этой точки зрения	2	6
36	с этой точки	2	6
37	т д все	2	6
38	т д но	5	6
39	на том что	2	6
40	только после того	2	5
41	для того чтобы	22	5
42	на задний план	2	5
43	есть не что	3	5
44	до наших дней	2	5
45	в отличие от	4	5
46	т д в	2	5
47	в другом месте	2	5
48	в том чтобы	5	5
49	влечет за собой	2	4
50	состоит в том	2	4
51	и в особенности	4	4
52	можно сказать что	3	4
53	это еще не	2	4
54	с точки зрения	4	4
55	и тем не	3	4
56	вопрос о том	5	4
57	так или иначе	4	4
58	же самое что	2	4
59	и то же	2	3
60	а так как	2	3
61	дело в том	3	3
62	как будто бы	2	3
63	что в нем	2	3
64	в соответствии с	2	3
65	одной стороны и	3	3
66	по этому поводу	3	3
67	ответ на вопрос	2	3
68	не в том	2	3
69	но дело не	2	3
70	само по себе	4	3
71	что в этом	2	3
72	по сравнению с	4	3
73	большей или меньшей	3	2
74	в самом деле	6	2
75	сам по себе	2	2
76	может быть и	2	2
77	т е не	2	2
78	и в том	4	2
79	ответ на этот	2	2
80	сама по себе	3	2
81	т д однако	3	2
82	в конечном итоге	3	2
83	и потому что	2	2
84	в том отношении	3	2
85	не могут быть	2	2
86	может быть названо	4	2
87	на вопрос о	4	2
88	и не могут	2	2
89	в прямом смысле	4	2
90	вовсе не в	2	2
91	может быть в	2	2
92	и т п	5	2
93	только в том	2	2
94	одно и то	2	2
95	и той же	2	2
96	том отношении что	3	2
97	одной и той	2	2
98	в свою очередь	2	2
99	не только как	4	2
