N	2gram	Bakhtin_KF	Istorich
1	и в	28	181
2	может быть	45	115
3	не только	5	114
4	что он	2	111
5	мы имеем	5	102
6	что в	4	90
7	но и	9	85
8	в этом	15	81
9	то что	7	73
10	и не	28	67
11	все же	5	65
12	еще не	5	63
13	не может	29	61
14	то же	5	56
15	никогда не	5	56
16	в том	6	53
17	том что	4	53
18	а в	5	52
19	потому что	2	52
20	что и	7	51
21	и здесь	7	51
22	о том	3	48
23	а не	17	48
24	его в	5	47
25	не в	13	47
26	но в	5	44
27	и пр	3	44
28	это не	10	43
29	и его	18	43
30	в нем	32	42
31	только в	18	42
32	как в	2	42
33	в его	42	38
34	для нас	4	38
35	тем что	3	38
36	и на	3	38
37	так и	2	37
38	он не	6	37
39	уже не	7	37
40	как и	5	37
41	здесь мы	4	35
42	с тем	2	35
43	все эти	11	35
44	мы не	3	35
45	что это	4	34
46	но не	12	34
47	там где	5	33
48	в качестве	2	32
49	ничего не	3	31
50	прежде всего	4	31
51	один из	2	31
52	к нему	12	30
53	но все	6	29
54	но это	6	29
55	того что	3	27
56	могут быть	3	27
57	мы здесь	3	26
58	в ней	3	26
59	вопрос о	2	25
60	было бы	8	24
61	если бы	8	24
62	в виде	2	24
63	к этому	2	24
64	не менее	3	24
65	все это	10	23
66	тем не	2	23
67	в этой	2	23
68	имеем в	2	23
69	и это	12	23
70	как бы	9	23
71	при этом	4	22
72	с ним	5	22
73	в одном	5	21
74	в другом	3	21
75	здесь не	3	21
76	она не	2	20
77	и как	2	19
78	что этот	3	18
79	в данном	2	18
80	вовсе не	7	18
81	в то	3	18
82	и только	7	17
83	и этим	3	17
84	дело не	2	17
85	всех этих	3	16
86	со стороны	8	16
87	и она	2	16
88	и действительно	6	16
89	и все	9	16
90	в котором	24	16
91	во всех	11	16
92	в целом	10	15
93	в своей	11	15
94	и то	2	15
95	его и	2	15
96	и эти	2	15
97	но есть	2	15
98	и тем	3	15
99	от него	3	14
100	отношение к	6	14
101	должна быть	4	14
102	в него	2	14
103	отношению к	22	14
104	из которых	2	14
105	и есть	10	14
106	его на	2	14
107	и ее	2	14
108	по отношению	26	14
109	него и	2	14
110	и для	10	13
111	в своем	17	13
112	не имеет	6	13
113	в себе	21	13
114	с ними	4	13
115	по себе	2	13
116	во всем	7	12
117	в их	9	12
118	и их	6	12
119	хотя бы	5	12
