N	2gram	Tiupa_Disk	OGranits
1	и в	27	13
2	и его	4	12
3	прежде всего	17	9
4	и не	25	8
5	не может	17	8
6	может быть	29	8
7	в его	9	7
8	точки зрения	6	7
9	и т.п	18	7
10	не только	36	6
11	как бы	9	6
12	таким образом	4	6
13	только в	9	6
14	то что	10	6
15	языка и	3	5
16	и т.д	5	5
17	все же	8	5
18	с точки	3	5
19	и наконец	2	5
20	хотя бы	3	5
21	в процессе	6	5
22	но в	15	4
23	лишь в	4	4
24	то же	12	4
25	не является	5	4
26	произведения как	2	4
27	в своей	10	4
28	все это	2	4
29	мы не	2	4
30	в каждом	2	4
31	никогда не	3	3
32	да и	2	3
33	одно и	2	3
34	и то	4	3
35	и все	5	3
36	в ее	4	3
37	с этим	3	3
38	отношению к	13	3
39	как и	27	3
40	в пределах	4	3
41	не в	8	3
42	в их	5	3
43	говорить о	3	3
44	в себе	22	3
45	что в	8	3
46	по отношению	13	3
47	но для	2	3
48	самом деле	2	3
49	за пределы	2	3
50	так и	14	3
51	что же	4	3
52	в которой	2	3
53	не как	5	3
54	к одному	2	3
55	в одном	5	3
56	но и	22	3
57	не столько	3	3
58	представляет себе	2	2
59	в самом	4	2
60	могут быть	5	2
61	своего рода	15	2
62	в этом	29	2
63	в них	6	2
64	для себя	6	2
65	и должно	2	2
66	данном случае	6	2
67	в книге	2	2
68	уже в	2	2
69	в том	29	2
70	тем что	4	2
71	в целом	5	2
72	в произведении	3	2
73	с одной	12	2
74	или иного	2	2
75	всей своей	2	2
76	роль в	10	2
77	и др	3	2
78	более того	2	2
79	в действительности	3	2
80	с другой	14	2
81	слова и	2	2
82	а в	5	2
83	которое может	2	2
84	и тем	2	2
85	том что	27	2
86	того или	3	2
87	а также	15	2
88	в г	2	2
89	и к	4	2
90	в языке	2	2
91	в данном	9	2
92	не менее	6	2
93	все эти	2	2
94	в области	3	2
95	героя и	2	2
96	с этой	2	2
97	и может	3	2
98	в своих	6	2
99	в полном	2	2
100	в нем	16	2
101	не на	3	2
102	в тех	2	2
103	при этом	22	2
104	и ее	5	2
105	а не	35	2
106	в ней	2	2
107	общения и	4	2
108	литературного произведения	3	2
109	входит в	2	2
110	еще в	6	2
111	как в	16	2
112	другой стороны	5	2
113	во всем	2	2
114	одной стороны	12	2
115	между тем	5	2
116	в чем	2	2
117	имеет место	4	2
118	соответствии с	5	2
119	ни одно	2	2
120	в лингвистике	3	2
121	в другом	5	2
122	самого начала	2	2
123	с самого	2	2
124	к тому	6	2
125	для него	9	2
