N	2gram	Medvedev_S	RusskieA
1	и в	3	79
2	в том	5	64
3	том что	2	59
4	что в	2	57
5	не только	3	41
6	в этом	5	33
7	как бы	2	31
8	но и	2	31
9	может быть	2	28
10	все это	7	18
11	то что	2	17
12	таким образом	2	17
13	для нас	3	14
14	и что	2	14
15	еще не	2	13
16	далеко не	2	11
17	по существу	2	10
18	то же	2	9
19	не в	3	7
20	главным образом	2	7
21	было бы	2	7
22	только в	2	7
23	как будто	2	7
24	в его	3	5
25	или даже	2	5
26	дело не	2	4
27	очевидно что	2	3
28	это и	2	3
29	по отношению	2	3
30	отношению к	2	3
31	только как	2	3
32	как только	2	3
33	в конце	2	2
34	в частности	2	2
35	тем более	2	2
36	им не	2	2
