N	2gram	Tiupa_Disk	Otkroven
1	и в	27	19
2	но и	22	13
3	и не	25	13
4	в этом	29	12
5	не только	36	11
6	человека в	6	11
7	не в	8	11
8	а не	35	11
9	может быть	29	11
10	и все	5	10
11	в нем	16	10
12	вопрос о	2	10
13	никогда не	3	9
14	потому что	7	9
15	не было	9	9
16	прежде всего	17	9
17	и он	2	8
18	человек не	2	7
19	лишь в	4	7
20	в его	9	7
21	до конца	2	7
22	он не	4	7
23	он всегда	2	7
24	как и	27	6
25	все это	2	6
26	для него	9	5
27	а в	5	5
28	в том	29	5
29	в творчестве	4	5
30	в самом	4	5
31	то что	10	5
32	в этой	5	5
33	отношение к	6	5
34	и его	4	4
35	что в	8	4
36	он сам	2	4
37	все эти	2	4
38	не может	17	4
39	что не	4	4
40	с его	9	4
41	в себе	22	3
42	и от	2	3
43	о том	12	3
44	это не	5	3
45	не могут	2	3
46	что он	6	3
47	различие между	3	3
48	еще не	20	3
49	и есть	2	3
50	в этих	4	3
51	в своих	6	3
52	в русской	4	3
53	когда он	3	3
54	и ее	5	3
55	в записках	2	3
56	как бы	9	3
57	хотя бы	3	3
58	могут быть	5	3
59	это было	2	3
60	мысли и	2	3
61	того что	4	3
62	как к	2	2
63	одно из	4	2
64	и то	4	2
65	сказать что	4	2
66	и на	8	2
67	уже в	2	2
68	что же	4	2
69	мысль о	3	2
70	о любви	2	2
71	и с	2	2
72	что и	5	2
73	образ человека	2	2
74	и потому	3	2
75	в ее	4	2
76	в своем	11	2
77	тем что	4	2
78	но в	15	2
79	том что	27	2
80	все же	8	2
81	жизни в	4	2
82	в своей	10	2
83	по себе	3	2
84	в истории	5	2
85	должно быть	2	2
86	и о	4	2
87	не есть	3	2
88	к этому	4	2
89	и к	4	2
90	так и	14	2
91	этом мире	2	2
92	в которой	2	2
93	хотя и	3	2
94	момент в	3	2
95	всего в	2	2
96	в другом	5	2
