N	2gram	Bakhtin_fo	Morfolog
1	и т	21	62
2	может быть	18	61
3	т д	3	60
4	и пр	2	45
5	таким образом	14	26
6	могут быть	7	21
7	так как	12	20
8	мы имеем	2	19
9	не может	8	19
10	в этом	41	18
11	в этих	6	17
12	и в	84	17
13	и не	19	16
14	мы видим	4	15
15	с этим	11	14
16	эта форма	2	14
17	прежде всего	28	14
18	по существу	17	13
19	и др	13	12
20	связи с	14	12
21	а не	7	11
22	вопрос о	2	10
23	мы увидим	2	10
24	то же	18	10
25	в том	16	10
26	то что	13	10
27	так и	17	10
28	что в	9	10
29	что и	5	10
30	а затем	3	10
31	в связи	13	10
32	все же	12	9
33	но и	14	9
34	с другой	4	9
35	не только	16	8
36	в результате	6	8
37	но не	9	8
38	а в	6	8
39	имеем в	3	8
40	мы не	4	8
41	в качестве	6	8
42	как мы	19	8
43	не могут	4	7
44	том что	7	7
45	по отношению	3	7
46	наряду с	7	7
47	отношению к	5	7
48	как это	2	7
49	а также	5	7
50	и здесь	2	7
51	и этим	2	7
52	точки зрения	14	7
53	во втором	2	7
54	один из	5	7
55	потому что	11	7
56	это не	8	6
57	во всех	13	6
58	и как	12	6
59	или в	3	6
60	во время	7	6
61	и другие	6	6
62	также и	6	6
63	в нашем	3	6
64	о том	4	6
65	если мы	2	6
66	в образе	8	6
67	с точки	9	6
68	в форме	5	6
69	как бы	11	6
70	вовсе не	20	6
71	одна из	3	5
72	ничего не	9	5
73	и ее	4	5
74	хотя бы	2	5
75	мы можем	2	5
76	было бы	2	5
77	об этом	3	5
78	что он	2	5
79	начинается с	2	5
80	как в	10	5
81	далеко не	3	5
82	прежде чем	3	5
83	к тому	6	5
84	в целом	2	5
85	между собой	5	5
86	там где	4	5
87	в других	9	5
88	сюда же	2	5
89	все эти	12	5
90	что они	3	5
91	он не	6	5
92	хотя и	5	5
93	этот момент	2	5
94	ясно что	2	5
95	сказать что	4	4
96	его в	8	4
97	тех же	2	4
98	так же	7	4
99	в то	13	4
100	значит что	2	4
101	к этому	5	4
102	есть и	4	4
103	тем что	4	4
104	не является	4	4
105	герой и	2	4
106	еще не	8	4
107	самом деле	2	4
108	из них	8	4
109	но в	16	4
110	на котором	2	4
111	но все	6	4
112	и для	12	4
113	как и	15	4
114	входит в	3	4
115	уже не	5	4
116	и к	4	4
117	на этом	2	4
118	смысле слова	4	4
119	того чтобы	11	4
120	в некоторых	4	4
121	никто не	2	4
122	мы уже	17	4
123	этого момента	2	3
124	в таких	2	3
125	или не	2	3
126	ее по	3	3
127	то в	2	3
128	время как	5	3
129	но эти	4	3
130	мы должны	2	3
131	здесь не	5	3
132	в которой	3	3
133	это было	2	3
134	даже не	2	3
135	всего это	2	3
136	в отдельных	2	3
137	и их	11	3
138	и у	8	3
139	целый ряд	2	3
140	друг друга	3	3
141	если бы	6	3
142	в последнем	3	3
143	на первый	2	3
144	кроме того	7	3
145	та же	4	3
146	он должен	2	3
147	не в	10	3
148	для того	12	3
149	героя и	7	3
150	с этой	3	3
151	у нас	2	3
152	форма в	3	3
153	в один	2	3
154	к ней	2	3
155	в пределах	8	3
156	того что	5	3
157	здесь мы	4	3
158	как уже	3	3
159	ее в	2	3
160	они не	4	3
161	ни в	9	3
162	по функциям	2	3
163	вступают в	3	3
164	с собой	2	3
165	в большинстве	3	3
166	но для	2	3
167	большинстве случаев	2	3
168	и вне	3	3
169	здесь же	2	3
170	совсем не	4	3
171	в начале	3	3
172	можно назвать	2	3
173	то время	4	3
174	животных и	2	3
175	и по	5	3
176	же в	6	3
177	и его	26	3
178	только в	12	3
179	в сущности	5	3
180	и есть	3	3
181	и только	3	3
182	значение и	7	3
183	в плоскости	2	3
184	в этой	3	3
185	мы будем	5	3
186	по всему	3	3
187	с его	10	3
188	данном случае	2	2
189	в каком	2	2
190	если они	2	2
191	себя в	2	2
192	по этим	2	2
193	в данном	4	2
194	из этих	5	2
195	том как	2	2
196	одной стороны	3	2
197	а потом	2	2
198	в глаза	3	2
199	герой в	2	2
200	к себе	8	2
201	обычно в	2	2
202	в другом	2	2
203	и даже	5	2
204	и тот	2	2
205	к другу	2	2
206	все действие	2	2
207	роль в	12	2
208	очень важный	3	2
209	в данной	2	2
210	этом отношении	5	2
211	не на	4	2
212	в частности	11	2
213	только для	2	2
214	на друга	4	2
215	нет но	3	2
216	его и	2	2
217	ни к	3	2
218	в чем	3	2
219	углом зрения	2	2
220	не знает	4	2
221	с одной	5	2
222	друг на	4	2
223	и более	3	2
224	и дает	3	2
225	одной из	3	2
226	с тем	5	2
227	как их	2	2
228	к вопросу	2	2
229	не имеет	5	2
230	вообще не	4	2
231	вопросу о	3	2
232	она не	2	2
233	особое место	2	2
234	друг за	2	2
235	то они	2	2
236	их в	6	2
237	с большой	3	2
238	здесь только	2	2
239	в различных	2	2
240	ту же	4	2
241	оно не	3	2
242	под углом	2	2
243	быть и	4	2
244	в другую	3	2
245	но они	3	2
246	в которых	4	2
247	не входит	2	2
248	за другом	2	2
249	с другими	3	2
250	для нас	2	2
251	в основу	3	2
252	что мы	2	2
253	в одной	2	2
254	до наших	2	2
255	в поступках	2	2
256	друг к	2	2
257	должны быть	2	2
258	к другому	2	2
259	себя и	6	2
260	все это	10	2
261	в основе	9	2
262	у него	8	2
263	эти формы	2	2
264	например в	7	2
265	можно сказать	2	2
266	но оно	2	2
267	в совершенно	3	2
268	он действует	2	2
269	момент в	2	2
270	для него	5	2
271	в одном	10	2
272	во всяком	5	2
273	по своему	3	2
274	тем же	3	2
275	чем в	3	2
