N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	5	40
2	не может быть	4	29
3	на самом деле	4	21
4	то же время	14	20
5	в то же	14	20
6	в связи с	5	16
7	в самом деле	2	11
8	в этом отношении	7	11
9	в большинстве случаев	5	9
10	с другой стороны	2	9
11	как мы видели	4	8
12	для того чтобы	8	8
13	до сих пор	3	8
14	вместе с тем	2	8
15	с одной стороны	2	8
16	более или менее	2	7
17	в данном случае	4	6
18	и в то	3	6
19	в том что	8	6
20	до известной степени	4	5
21	связи с этим	3	5
22	в отличие от	3	5
23	и не в	2	4
24	с самого начала	3	4
25	хотя бы в	2	4
26	и не могут	2	4
27	подобно тому как	2	4
28	но и в	3	4
29	как и все	5	4
30	можно говорить о	2	3
31	то же самое	3	3
32	на первый план	3	3
33	ровно ничего не	2	3
34	но в то	6	3
35	и тот же	2	3
36	друг с другом	2	3
37	в том числе	6	3
38	потому что он	3	3
39	и в этой	2	3
40	не могло не	2	3
41	на самом же	4	3
42	том числе и	3	3
43	самом же деле	4	3
44	в ней и	2	3
45	все то что	5	2
46	и прежде всего	4	2
47	нужно сказать что	4	2
48	большое место в	2	2
49	так же как	4	2
50	между тем как	2	2
51	в отрыве от	2	2
52	мы видели что	2	2
53	в одной из	2	2
54	о том как	2	2
55	и с точки	2	2
56	что и в	2	2
57	так как они	3	2
58	дело в том	4	2
