N	2gram	Berdyaev_M	SlovoVZh
1	не может	39	16
2	точки зрения	6	14
3	может быть	42	14
4	и его	13	13
5	как бы	10	13
6	и в	61	12
7	в нашем	2	11
8	отношению к	4	11
9	по отношению	4	11
10	и не	26	10
11	так как	10	9
12	если бы	5	9
13	прежде всего	18	8
14	для нас	3	7
15	сказать что	5	7
16	все время	3	6
17	в том	9	6
18	в нем	26	6
19	только в	7	6
20	в ней	23	6
21	никогда не	30	5
22	как в	9	5
23	в жизни	7	5
24	в виду	2	5
25	но в	12	5
26	том что	7	5
27	то же	4	5
28	как и	14	5
29	должна быть	7	5
30	хотя бы	8	5
31	а не	36	5
32	то что	10	5
33	в самом	15	4
34	в этом	34	4
35	не только	42	4
36	на самом	2	4
37	что не	3	4
38	его в	6	4
39	жизни и	6	4
40	не в	16	4
41	все же	2	4
42	к нему	8	4
43	за пределы	5	4
44	и к	9	4
45	так и	5	4
46	и на	9	4
47	уже не	8	4
48	от того	4	4
49	литературы и	2	4
50	отношение к	9	4
51	как к	2	3
52	в них	5	3
53	по себе	2	3
54	в каком	2	3
55	о том	5	3
56	и для	7	3
57	ее и	2	3
58	не к	6	3
59	он должен	4	3
60	ни в	3	3
61	все эти	3	3
62	в котором	9	3
63	так же	5	3
64	в своей	18	3
65	мы не	2	3
66	конечно не	3	3
67	в себе	12	3
68	все это	6	3
69	когда он	3	3
70	и ее	2	3
71	между тем	2	3
72	и с	6	3
73	но для	2	3
74	в творчестве	13	3
75	сих пор	5	3
76	с ним	5	3
77	до сих	5	3
78	отношении к	4	3
79	быть и	2	3
80	и по	4	3
81	в такой	4	3
82	самом деле	2	3
83	того что	13	3
84	и более	2	3
85	но и	34	3
86	для него	28	3
87	и то	2	2
88	тем как	2	2
89	в его	10	2
90	до конца	16	2
91	и здесь	6	2
92	что в	12	2
93	а к	2	2
94	не так	6	2
95	в отношении	6	2
96	не есть	21	2
97	социальной среды	4	2
98	место в	4	2
99	человеческого общества	3	2
100	ничего не	4	2
101	с его	6	2
102	и те	4	2
103	в атмосфере	3	2
104	что и	6	2
105	это не	10	2
106	и все	13	2
107	от всех	2	2
108	она не	9	2
109	в своем	17	2
110	на все	3	2
111	бы не	4	2
112	его к	2	2
113	ко всем	3	2
114	не остается	2	2
115	и что	4	2
116	в то	2	2
117	себя и	6	2
118	те же	5	2
119	уже в	6	2
120	по природе	2	2
121	с этой	4	2
122	в этих	6	2
123	но это	8	2
124	за его	2	2
125	он не	34	2
126	есть уже	8	2
127	в момент	3	2
128	и потому	17	2
129	его как	2	2
130	оно не	3	2
131	но не	8	2
132	могут быть	2	2
133	не способен	6	2
134	в чем	3	2
135	нет ничего	9	2
136	и самое	3	2
137	относится к	2	2
138	к этому	3	2
139	тогда когда	2	2
140	и та	2	2
141	от этой	2	2
142	но этот	3	2
143	любит и	2	2
144	вместе с	7	2
