N	2gram	Tiupa_Hudo	KFilosof
1	может быть	12	45
2	в его	17	42
3	в нем	5	32
4	не может	10	29
5	и не	15	28
6	и в	34	28
7	по отношению	15	26
8	в котором	5	24
9	отношению к	15	22
10	в себе	19	21
11	и его	8	18
12	только в	8	18
13	в своем	9	17
14	в ее	16	17
15	а не	23	17
16	в этом	22	15
17	не в	16	13
18	для него	15	13
19	точки зрения	7	13
20	но не	7	12
21	и это	7	12
22	к нему	2	12
23	ни в	5	12
24	в своей	15	11
25	во всех	2	11
26	все эти	4	11
27	это не	12	10
28	в целом	2	10
29	от себя	3	10
30	и для	5	10
31	все это	2	10
32	с точки	5	10
33	бытия и	4	10
34	в их	2	9
35	для нее	6	9
36	но и	13	9
37	как бы	11	9
38	и все	10	9
39	себя в	11	8
40	если бы	7	8
41	не было	8	8
42	лишь в	5	8
43	со стороны	6	8
44	быть только	2	8
45	в мире	10	8
46	жизни и	10	8
47	было бы	8	8
48	в себя	3	8
49	для себя	9	7
50	то что	13	7
51	уже не	12	7
52	отнюдь не	4	7
53	и только	2	7
54	что и	3	7
55	вовсе не	2	7
56	на основе	2	7
57	этот момент	3	7
58	ее и	2	6
59	должно быть	2	6
60	отношение к	3	6
61	в том	24	6
62	но все	2	6
63	не имеет	2	6
64	место в	3	6
65	я не	8	6
66	но это	2	6
67	он не	8	6
68	никогда не	8	5
69	его в	5	5
70	все же	5	5
71	не только	22	5
72	но как	3	5
73	бытия как	3	5
74	хотя бы	2	5
75	то же	14	5
76	жизни в	12	5
77	но ведь	2	5
78	еще не	10	5
79	не знает	2	5
80	а в	11	5
81	но в	6	5
82	в контексте	2	5
83	как и	16	5
84	именно в	9	5
85	что я	4	5
86	жизни как	7	5
87	в одном	3	5
88	там где	2	5
89	себя и	4	5
90	я и	7	5
91	с ним	6	5
92	в основе	3	5
93	что это	2	4
94	тем самым	2	4
95	том что	31	4
96	что в	8	4
97	могла бы	2	4
98	не как	3	4
99	и т.д	3	4
100	не по	2	4
101	времени и	2	4
102	чем не	2	4
103	о нем	4	4
104	прежде всего	12	4
105	с другим	2	4
106	в своих	4	4
107	для нас	4	4
108	с ними	3	4
109	при этом	21	4
110	как его	3	4
111	между тем	14	4
112	до конца	3	3
113	или иного	4	3
114	ничего не	11	3
115	слово не	2	3
116	того или	4	3
117	в то	12	3
118	на самом	2	3
119	от него	3	3
120	здесь не	2	3
121	человека и	4	3
122	в другом	3	3
123	это и	2	3
124	тем что	6	3
125	и тем	2	3
126	та же	5	3
127	бы не	3	3
128	для того	3	3
129	самом деле	6	3
130	тем как	2	3
131	себе и	3	3
132	и тот	2	3
133	по своему	3	3
134	его жизни	6	3
135	нет и	2	3
136	не менее	9	3
137	не должно	2	3
138	о том	21	3
139	не могу	3	3
140	бытия для	2	3
141	в ней	6	3
142	вступает в	2	3
143	и на	6	3
144	что не	4	3
145	ближе к	2	3
146	того что	5	3
147	мы не	2	3
148	один и	2	3
149	рядом с	5	3
150	ее жизни	2	3
151	бы и	2	3
152	отсюда и	2	3
153	ясно что	2	3
154	не о	3	2
155	и то	2	2
156	чтобы не	3	2
157	мышления и	3	2
158	или иной	2	2
159	и потому	3	2
160	в данном	3	2
161	мышления как	2	2
162	сознания в	2	2
163	говорить о	4	2
164	и ее	3	2
165	и эта	3	2
166	дело в	2	2
167	то ни	2	2
168	дело не	2	2
169	и смысловой	2	2
170	вопрос о	2	2
171	это было	2	2
172	в это	4	2
173	с ее	7	2
174	к себе	8	2
175	другого и	2	2
176	тем не	7	2
177	как к	4	2
178	в виде	2	2
179	а как	2	2
180	все они	2	2
181	а с	5	2
182	что он	14	2
183	так и	19	2
184	ни к	2	2
185	жизнь и	2	2
186	его и	2	2
187	едва ли	6	2
188	в жизни	9	2
189	это уже	2	2
190	как в	11	2
191	от этого	2	2
192	в него	2	2
193	всей своей	2	2
194	тому что	8	2
195	она не	6	2
196	дело с	2	2
197	и она	2	2
198	ни одна	2	2
199	ему в	3	2
200	не нужно	3	2
201	а по	2	2
202	соответствии с	2	2
203	он и	2	2
204	один из	6	2
205	него и	2	2
206	по себе	3	2
207	потому что	7	2
208	которой он	2	2
209	раз и	2	2
210	того чтобы	6	2
211	сводится к	7	2
212	и когда	4	2
213	слова в	2	2
214	именно на	2	2
215	и смерти	4	2
216	не следует	2	2
217	в качестве	13	2
218	же время	11	2
219	дело здесь	2	2
220	в этой	11	2
221	с его	9	2
