N	2gram	Losev_Prob	Komedia
1	и в	62	77
2	и не	56	47
3	в том	35	44
4	том что	25	42
5	о том	14	33
6	едва ли	8	32
7	но и	20	32
8	может быть	39	30
9	таким образом	13	29
10	из них	4	29
11	в то	18	28
12	и его	12	28
13	в этом	25	27
14	потому что	40	27
15	что он	16	26
16	к тому	4	26
17	не только	33	25
18	вместе с	3	25
19	так как	14	24
20	как и	15	23
21	ни в	17	23
22	что в	11	23
23	что и	11	22
24	если бы	9	22
25	в самом	4	22
26	в конце	7	21
27	так и	16	21
28	а в	9	21
29	то же	23	21
30	ясно что	11	21
31	в его	10	20
32	во время	3	19
33	к этому	2	19
34	в этой	10	18
35	и т	20	17
36	тем что	8	17
37	еще не	12	17
38	и здесь	8	17
39	в нем	13	17
40	все же	10	16
41	не менее	24	16
42	при этом	9	16
43	и сам	6	16
44	сих пор	4	16
45	он не	10	16
46	до сих	4	16
47	его в	4	15
48	в своем	7	15
49	не в	21	15
50	точки зрения	14	15
51	прежде всего	13	15
52	было бы	14	15
53	в которой	3	15
54	и на	4	15
55	к нему	3	14
56	все это	9	14
57	об этом	7	14
58	и с	11	14
59	о чем	4	13
60	то что	42	13
61	так что	21	13
62	самом деле	6	13
63	но в	17	13
64	того же	2	13
65	в них	6	13
66	того чтобы	4	13
67	что она	5	13
68	мы можем	11	13
69	только что	4	13
70	в одном	4	13
71	как раз	11	13
72	так же	11	12
73	с другой	14	12
74	для того	5	12
75	как это	4	12
76	уже в	5	12
77	несмотря на	4	12
78	на сцене	2	12
79	в качестве	10	12
80	в истории	4	12
81	хотя и	9	12
82	в начале	3	12
83	не может	14	12
84	как в	10	12
85	но не	6	12
86	в котором	3	12
87	из которых	6	12
88	в их	2	11
89	в частности	4	11
90	с тем	9	11
91	что его	3	11
92	как мы	12	11
93	то время	6	11
94	к ней	2	11
95	и даже	21	11
96	на этот	4	11
97	и для	5	11
98	с ним	11	11
99	в отношении	4	10
100	в целом	9	10
101	ничего не	4	10
102	на основании	2	10
103	и все	13	10
104	в чем	5	10
105	мы не	15	10
106	же в	6	10
107	тут же	12	10
108	с этим	5	10
109	тем более	8	10
110	на него	3	10
111	с одной	3	10
112	сразу же	2	10
113	как бы	11	10
114	и что	9	10
115	плавта и	2	9
116	в тех	3	9
117	отличие от	3	9
118	тому что	5	9
119	одной стороны	2	9
120	однако в	3	9
121	и особенно	3	9
122	о его	3	9
123	и по	3	9
124	даже не	3	9
125	в своей	8	9
126	а также	6	9
127	независимо от	4	9
128	и еще	2	9
129	время как	6	9
130	но все	5	9
131	друг друга	5	9
132	вовсе не	62	9
133	говорить о	7	9
134	только в	33	9
135	в ней	12	9
136	первую очередь	3	8
137	и ее	7	8
138	как он	2	8
139	то ни	7	8
140	такого рода	14	8
141	по своему	6	8
142	то это	13	8
143	связи с	10	8
144	да и	9	8
145	по поводу	3	8
146	другой стороны	11	8
147	можно было	7	8
148	бы в	3	8
149	с этой	3	8
150	что у	3	8
151	что для	4	8
152	в которых	3	8
153	меньше всего	2	8
154	если не	7	8
155	не было	6	8
156	во всех	4	8
157	вопрос о	2	7
158	в первую	3	7
159	в себе	23	7
160	и поэтому	3	7
161	само собой	3	7
162	в другом	4	7
163	и у	2	7
164	со своим	2	7
165	и к	9	7
166	себе в	5	7
167	и о	8	7
168	в других	2	7
169	так или	2	7
170	но если	12	7
171	и это	11	7
172	и во	5	7
173	этот раз	3	7
174	в связи	9	7
175	что они	8	7
176	во всяком	14	7
177	у плавта	2	7
178	бы то	5	7
179	хотя бы	6	7
180	в результате	8	7
181	дело с	3	7
182	не является	19	7
183	ни было	5	7
184	в этих	6	7
185	и тот	2	7
186	не имеет	12	7
187	равно как	2	7
188	или иначе	2	7
189	отнюдь не	16	7
190	конце концов	4	7
191	для нас	23	7
192	всяком случае	8	7
193	и хотя	3	7
194	даже в	2	6
195	в виду	20	6
196	и тем	16	6
