N	3gram	Bakhtin_Pr	VLabPisa
1	и т д	4	16
2	в этом отношении	3	14
3	в письме к	2	11
4	и т п	10	9
5	с другой стороны	6	8
6	не может быть	8	8
7	по отношению к	12	7
8	более или менее	4	6
9	в то же	13	5
10	в том что	6	5
11	то же время	13	5
12	в зависимости от	5	5
13	в художественном творчестве	2	5
14	хотя бы и	3	5
15	в одном из	2	4
16	можно сказать что	2	4
17	подобно тому как	3	3
18	большей или меньшей	2	3
19	и в то	2	3
20	о том что	2	3
21	о том же	2	3
22	по крайней мере	2	2
23	в конце концов	7	2
24	не только не	2	2
25	во всяком случае	4	2
26	для него в	2	2
27	только то что	2	2
28	или меньшей степени	2	2
29	т е в	3	2
30	этой точки зрения	2	2
31	и не может	6	2
32	не только в	2	2
33	до сих пор	9	2
34	в большей или	2	2
35	можно было бы	3	2
