N	3gram	Vinokur_Vv	Dialekti
1	и т д	39	75
2	с точки зрения	4	46
3	по крайней мере	4	26
4	сама по себе	3	26
5	в том что	15	25
6	не может быть	10	18
7	не что иное	5	18
8	что иное как	5	18
9	само по себе	4	16
10	тем не менее	9	16
11	сам по себе	2	16
12	то же время	6	15
13	в то же	6	14
14	одно и то	2	12
15	и то же	2	12
16	о том что	13	12
17	с другой стороны	5	12
18	есть не что	3	11
19	в самом деле	6	10
20	т е в	4	10
21	подобно тому как	2	9
22	и в этом	4	9
23	в этом смысле	10	8
24	той или иной	3	7
25	вовсе не в	2	7
26	т е не	2	7
27	можно сказать что	3	7
28	не говоря уже	2	7
29	не в том	2	7
30	точно так же	2	7
31	в связи с	2	7
32	так или иначе	4	7
33	для того чтобы	22	6
34	может быть и	2	6
35	во всяком случае	5	6
36	в зависимости от	3	6
37	с одной стороны	4	6
38	что в нем	2	5
39	в конце концов	2	5
40	до сих пор	7	5
41	одной и той	2	5
42	и той же	2	5
43	и тем не	3	5
44	потому что он	2	5
45	по сравнению с	4	5
46	то же самое	3	4
47	т д все	2	4
48	мы уже знаем	2	4
49	может быть в	2	4
50	в данном случае	4	4
51	и т п	5	4
52	этой точки зрения	2	4
53	с этой точки	2	4
54	одной стороны и	3	4
55	в этом отношении	4	4
56	т д но	5	4
57	можно было бы	4	4
58	не могут быть	2	4
59	в чем же	3	3
60	но в то	3	3
61	не только в	4	3
62	т д в	2	3
63	как она есть	2	3
64	как будто бы	2	3
65	принять во внимание	2	3
66	но все же	4	3
67	тех или иных	3	3
68	в широком смысле	7	2
69	вопрос о том	5	2
70	можно представить себе	2	2
71	представить себе что	2	2
72	к выводу что	6	2
73	а так как	2	2
74	это не только	2	2
75	хотя бы и	2	2
76	в собственном смысле	3	2
77	дело в том	3	2
78	и в том	4	2
79	и в особенности	4	2
80	но также и	10	2
81	в свою очередь	2	2
82	и то что	3	2
83	можно говорить о	3	2
