N	2gram	Vygotskiy_	Sotsiolo
1	все это	9	7
2	в том	47	5
3	в этом	32	5
4	для нас	4	3
5	не только	29	3
6	и только	2	3
7	в его	16	3
8	но ведь	2	3
9	не в	9	3
10	и в	37	3
11	отношению к	11	2
12	по отношению	12	2
13	только в	8	2
14	что в	25	2
15	тем более	7	2
16	нашей науки	2	2
17	в частности	8	2
18	том что	42	2
19	было бы	12	2
20	таким образом	39	2
21	в смысле	2	2
22	то же	12	2
23	и что	11	2
24	как только	3	2
25	к которому	4	2
26	то что	32	2
27	и заключается	2	2
28	как бы	16	2
29	но и	23	2
30	главным образом	2	2
31	очевидно что	4	2
32	в конце	2	2
33	за пределы	4	2
34	и мы	3	2
35	или даже	2	2
36	может быть	19	2
37	по существу	8	2
38	в результате	7	2
