N	3gram	Trubetskoy	FransuaR
1	в то же	2	55
2	то же время	2	55
3	до сих пор	15	27
4	в том что	16	27
5	с точки зрения	8	20
6	для того чтобы	7	17
7	о том что	4	17
8	в связи с	3	16
9	на самом деле	7	13
10	не может быть	4	13
11	с одной стороны	2	13
12	с другой стороны	4	12
13	как и все	2	11
14	в конце концов	4	10
15	в данном случае	3	10
16	как и в	2	10
17	по отношению к	11	9
18	более или менее	8	8
19	таким образом в	3	8
20	во всех этих	2	7
21	в настоящее время	3	7
22	не подлежит сомнению	3	7
23	в самом деле	5	7
24	в то время	2	7
25	к тому же	5	6
26	но все же	2	6
27	в свою очередь	2	6
28	во всяком случае	2	5
29	в том же	3	5
30	друг с другом	9	5
31	по сравнению с	5	5
32	только то что	2	5
33	может быть и	4	4
34	начало и конец	4	4
35	а следовательно и	2	4
36	так же как	3	4
37	и все что	2	4
38	таким образом здесь	2	4
39	и то что	3	4
40	бы то ни	3	3
41	что касается до	6	3
42	все же не	3	3
43	заключается в том	3	3
44	о которой мы	2	3
45	именно потому что	2	3
46	вместе с тем	3	3
47	и в том	2	3
48	одного и того	3	3
49	и того же	3	3
50	а с другой	2	3
51	в вопросе о	2	3
52	друг от друга	6	3
53	в целом ряде	3	3
54	в таком же	2	2
55	сих пор не	5	2
56	ничего общего с	2	2
57	совершенно так же	4	2
58	мы знаем что	7	2
59	в этом случае	4	2
60	то ни было	3	2
61	том что он	2	2
62	друг к другу	2	2
63	мы сказали что	2	2
64	при этом что	2	2
65	между этими двумя	2	2
66	и может быть	2	2
67	подлежит сомнению что	3	2
68	и без того	4	2
