N	2gram	Propp_Russ	Vladivir
1	и в	59	116
2	то что	10	71
3	и не	6	67
4	в году	5	65
5	не только	28	65
6	у него	2	65
7	в этом	18	53
8	в том	33	52
9	том что	33	51
10	что в	35	48
11	но и	20	47
12	в его	3	40
13	и с	12	39
14	то есть	3	37
15	там же	15	35
16	так что	4	35
17	потому что	15	33
18	что он	2	32
19	не может	6	31
20	о том	14	30
21	только в	4	30
22	как мы	11	29
23	а в	16	27
24	не было	3	26
25	в то	3	25
26	но в	5	25
27	и то	2	25
28	а к	3	25
29	и его	2	25
30	а также	6	24
31	точки зрения	3	23
32	между прочим	2	23
33	может быть	14	23
34	в виде	10	22
35	так как	25	22
36	он был	2	22
37	кроме того	3	22
38	об этом	11	22
39	вместе с	16	21
40	а именно	2	20
41	в своем	3	20
42	прежде всего	2	20
43	для нас	12	20
44	и что	8	20
45	и потому	3	19
46	так и	8	19
47	не менее	3	19
48	в дальнейшем	2	19
49	таким образом	10	19
50	в течение	7	19
51	тем не	3	19
52	не в	2	18
53	не был	3	18
54	как это	11	18
55	как и	19	18
56	хотя и	3	18
57	что и	8	17
58	в этой	4	17
59	у нас	11	17
60	а не	3	17
61	уже не	9	16
62	все же	7	16
63	того что	6	16
64	а н	21	16
65	было бы	3	16
66	к тому	4	16
67	и все	4	16
68	в котором	2	16
69	до конца	5	15
70	в эти	4	15
71	в связи	4	15
72	под названием	3	15
73	но это	5	15
74	к этому	7	15
75	несмотря на	4	15
76	то же	6	15
77	в своих	3	15
78	и к	3	15
79	в москве	4	14
80	уже в	2	14
81	тут же	2	14
82	все эти	5	14
83	и как	2	14
84	и на	14	14
85	мы уже	2	14
86	так же	7	13
87	с тем	14	13
88	и от	2	13
89	что это	4	13
90	не просто	3	13
91	на этот	3	13
92	то время	3	13
93	во всем	2	13
94	и у	5	12
95	только на	4	12
96	ничего не	4	12
97	в нем	3	12
98	и по	10	12
99	связи с	6	12
100	и это	2	12
101	мы должны	3	11
102	всякого рода	3	11
103	еще в	6	11
104	и о	4	11
105	при этом	11	11
106	все это	12	11
107	в данном	7	11
108	в которой	3	11
109	и здесь	3	11
110	на то	2	11
111	но что	2	11
112	в основном	4	11
113	к нему	3	10
114	в ней	3	10
115	что все	2	10
116	в качестве	5	10
117	в россии	4	10
118	можно было	3	10
119	еще не	7	10
120	но не	7	10
121	что для	4	10
122	отнюдь не	3	10
123	года в	2	10
124	с точки	3	10
125	с ним	2	10
126	это не	14	9
127	о чем	7	9
128	а с	6	9
129	в целом	2	9
130	по существу	7	9
131	что если	2	9
132	с этим	4	9
133	именно в	3	9
134	это время	4	9
135	но он	3	9
136	не столько	3	8
137	как бы	18	8
138	тот же	2	8
139	и и	2	8
140	из этих	6	8
141	должно быть	2	8
142	в этот	19	8
143	тем что	7	8
144	с этой	2	8
145	в этих	3	8
146	как в	10	8
147	и для	3	8
148	когда он	3	8
149	в это	4	8
150	значит что	2	8
151	в доме	2	7
152	но даже	2	7
153	как он	2	7
154	не имеет	9	7
155	а а	33	7
156	по этому	4	7
157	того чтобы	6	7
158	же в	5	7
159	здесь мы	3	7
160	е в	17	7
161	мы видели	3	7
162	то и	4	7
163	ничего общего	3	7
164	к ней	4	7
165	но если	2	7
166	но все	3	7
167	в одном	4	7
168	с в	12	7
169	что этот	4	7
170	на первый	3	7
171	в таком	5	7
172	судить по	2	7
173	в нашем	2	7
174	в них	10	7
175	данном случае	8	6
176	его в	9	6
177	на себя	4	6
178	в настоящее	3	6
179	в отличие	4	6
180	что здесь	4	6
181	есть и	2	6
182	том же	6	6
183	в виду	3	6
184	отличие от	4	6
185	что на	5	6
186	тому что	4	6
187	настоящее время	3	6
188	в в	3	6
189	жизнь и	2	6
190	можно говорить	2	6
191	по своему	2	6
192	что она	4	6
193	должен был	3	6
194	и наконец	2	6
195	для того	6	6
196	такой же	3	6
197	в древнем	4	6
198	мы не	11	6
199	и из	3	6
200	не с	5	6
201	в жизни	2	6
202	он пишет	2	6
203	видно что	8	6
