N	2gram	Savitsky_P	VerxiiNi
1	и в	14	26
2	с тем	3	18
3	в этом	10	15
4	точки зрения	3	13
5	как бы	4	12
6	в том	9	11
7	не только	17	10
8	и с	2	10
9	может быть	5	10
10	что в	4	9
11	в области	11	9
12	но и	6	9
13	но не	3	8
14	с другой	5	8
15	в общем	2	8
16	главным образом	2	8
17	и не	12	8
18	как на	2	8
19	потому что	3	7
20	одной стороны	3	7
21	из них	2	7
22	то что	4	7
23	с одной	3	7
24	но в	9	7
25	том что	4	7
26	в отношении	10	6
27	мы должны	4	6
28	в себе	3	6
29	с точки	3	6
30	все это	2	6
31	и потому	4	6
32	в мире	2	5
33	том числе	2	5
34	и к	4	5
35	в силу	2	5
36	в его	2	5
37	для того	3	5
38	а не	2	5
39	а в	4	4
40	в котором	4	4
41	в нем	3	4
42	не может	4	4
43	в смысле	6	4
44	в которых	5	4
45	в виде	2	4
46	то же	9	4
47	только в	7	4
48	в то	7	4
49	в своем	4	3
50	европейской культуры	4	3
51	если в	2	3
52	и если	4	3
53	хотя бы	8	3
54	русский народ	2	3
55	в значительной	2	3
56	и как	3	3
57	если бы	4	3
58	не менее	2	3
59	в качестве	9	3
60	и о	5	3
61	того что	2	3
62	так называемые	2	3
63	в эту	2	2
64	по сравнению	2	2
65	и это	2	2
66	а также	4	2
67	в россии	3	2
68	в начале	2	2
69	между тем	3	2
70	именно в	2	2
71	что мы	3	2
72	в них	2	2
73	в русском	2	2
74	мысль о	2	2
75	не было	2	2
76	на пути	4	2
77	не в	5	2
78	значительной мере	2	2
79	же время	7	2
80	заключает в	2	2
81	не к	2	2
82	может ли	2	2
83	прежде всего	3	2
84	тот же	3	2
85	во всех	2	2
86	вслед за	3	2
