N	3gram	Tiupa_Anal	formyVre
1	и т п	3	32
2	то же время	7	21
3	в то же	9	18
4	в связи с	2	15
5	с точки зрения	6	15
6	друг с другом	2	13
7	для того чтобы	3	12
8	но и в	3	12
9	не только в	3	11
10	одного и того	2	9
11	и того же	2	9
12	в том числе	3	8
13	прежде всего в	2	7
14	в этом отношении	5	7
15	в отличие от	8	7
16	не может быть	17	7
17	с одной стороны	6	6
18	и в этом	4	6
19	одно и то	2	5
20	и то же	2	5
21	в том что	13	5
22	в широком смысле	2	5
23	как и в	2	5
24	то есть в	2	5
25	той или иной	8	5
26	в этом ряду	3	4
27	в этом случае	4	4
28	с другой стороны	2	4
29	по отношению к	9	4
30	то же самое	3	3
31	а не в	3	3
32	о том что	8	3
33	как раз и	2	3
34	но в то	2	3
35	сами по себе	3	3
36	в той или	3	3
37	по природе своей	3	2
38	к тому что	2	2
39	в основе своей	2	2
40	с самим собой	2	2
41	в нашем случае	3	2
42	в частности в	2	2
43	в соответствии с	2	2
44	в данном случае	3	2
45	времени и пространстве	5	2
46	в борьбе с	2	2
47	и в самом	3	2
48	к тому же	6	2
49	произведения в его	2	2
