N	3gram	Vygotskiy_	Tvorches
1	в то же	2	25
2	то же время	2	24
3	и т д	10	17
4	в том что	21	11
5	о том что	9	8
6	в конечном счете	6	6
7	не может быть	14	6
8	и т п	23	5
9	в самом деле	13	5
10	с точки зрения	12	4
11	до сих пор	8	4
12	в таком случае	3	3
13	точно так же	6	3
14	как и в	5	3
15	хотя и не	2	3
16	едва ли не	2	3
17	с другой стороны	7	3
18	и не может	2	3
19	что все это	2	3
20	сами по себе	4	3
21	во всяком случае	7	3
22	в отличие от	4	3
23	не означает что	2	2
24	на самом деле	6	2
25	тем не менее	6	2
26	потому что он	2	2
27	при этом он	2	2
28	для того чтобы	11	2
29	можно сказать что	2	2
30	в этой области	3	2
31	та же самая	2	2
32	так и в	2	2
33	в связи с	2	2
34	не могут быть	2	2
35	вместе с тем	3	2
36	заключается в том	13	2
37	в конце концов	6	2
38	так же как	8	2
39	заключает в себе	3	2
40	и что в	2	2
41	только то что	2	2
42	в одном из	2	2
43	и в самом	3	2
44	не потому что	2	2
45	что у него	3	2
46	несмотря на все	4	2
47	в свою очередь	3	2
48	таким образом и	3	2
