N	2gram	Propp_Russ	Marksizm
1	точки зрения	3	69
2	может быть	14	64
3	и в	59	63
4	и не	6	55
5	как бы	18	53
6	не может	6	47
7	с точки	3	46
8	и пр	4	42
9	и его	2	41
10	в этом	18	39
11	таким образом	10	38
12	как мы	11	32
13	в пределах	2	31
14	не только	28	29
15	в нем	3	28
16	то же	6	28
17	но и	20	27
18	связи с	6	25
19	прежде всего	2	24
20	как и	19	24
21	так и	8	23
22	только в	4	23
23	в том	33	22
24	то что	10	22
25	а не	3	22
26	при этом	11	20
27	том что	33	19
28	не в	2	19
29	в его	3	19
30	но в	5	18
31	и для	3	18
32	все же	7	17
33	в то	3	16
34	и как	2	16
35	что он	2	15
36	в связи	4	15
37	во всех	6	15
38	отнюдь не	3	15
39	в русском	4	15
40	в данном	7	14
41	ничего не	4	13
42	так же	7	13
43	мы не	11	13
44	того чтобы	6	13
45	было бы	3	13
46	не является	2	13
47	и здесь	3	13
48	слова в	3	13
49	что в	35	13
50	а в	16	12
51	для того	6	12
52	между тем	9	12
53	на самом	3	11
54	друг друга	3	11
55	как в	10	11
56	и все	4	11
57	к нему	3	11
58	и на	14	11
59	в ней	3	11
60	не столько	3	11
61	все эти	5	11
62	и от	2	11
63	так как	25	11
64	еще не	7	11
65	и что	8	11
66	мы уже	2	11
67	его в	9	10
68	и потому	3	10
69	в каждом	2	10
70	в основном	4	10
71	отличие от	4	10
72	здесь мы	3	10
73	одна из	12	10
74	к этому	7	10
75	в своем	3	10
76	в отличие	4	10
77	именно в	3	10
78	в таком	5	10
79	в большинстве	2	10
80	и следовательно	2	9
81	это не	14	9
82	только на	4	9
83	мы видели	3	9
84	и это	2	9
85	к тому	4	9
86	большинстве случаев	2	9
87	в нашем	2	9
88	что это	4	9
89	не имеет	9	9
90	и более	3	9
91	быть и	3	9
92	перед нами	2	8
93	и ее	3	8
94	в форме	3	8
95	или же	2	8
96	в их	5	8
97	с этим	4	8
98	тому что	4	8
99	на этой	3	8
100	настоящее время	3	8
101	что и	8	8
102	в настоящее	3	8
103	этого слова	3	8
104	мы можем	2	8
105	кроме того	3	8
106	и их	4	8
107	у нас	11	8
108	на то	2	8
109	в свою	3	8
110	и с	12	8
111	но что	2	8
112	не было	3	8
113	к другому	2	8
114	у него	2	8
115	до конца	5	7
116	свою очередь	2	7
117	того что	6	7
118	место в	2	7
119	и те	3	7
120	могут быть	3	7
121	там где	3	7
122	с ними	6	7
123	в качестве	5	7
124	в этой	4	7
125	в этих	3	7
126	далеко не	5	7
127	о том	14	7
128	в котором	2	7
129	вопрос о	4	6
130	мы должны	3	6
131	то есть	3	6
132	в различных	3	6
133	в какой	3	6
134	все это	12	6
135	тот же	2	6
136	с другими	3	6
137	из этих	6	6
138	же в	5	6
139	от одного	2	6
140	входит в	4	6
141	уже не	9	6
142	этот вопрос	4	6
143	ничего общего	3	6
144	не к	3	6
145	о чем	7	5
146	и у	5	5
147	в виду	3	5
148	так называемая	2	5
149	связано с	3	5
150	в особенности	3	5
151	от этого	2	5
152	не менее	3	5
153	или в	7	5
154	в более	2	5
155	в двух	2	5
156	этом случае	9	5
157	хотя и	3	5
158	должно быть	2	5
159	самом же	2	5
160	ее в	7	5
161	в целях	4	5
162	она не	4	5
163	но не	7	5
164	значение в	2	5
165	направления в	2	5
166	же деле	2	5
167	в одном	4	5
168	как на	2	5
169	вместе с	16	5
170	следовательно и	2	4
171	его к	3	4
172	или даже	3	4
173	как он	2	4
174	в тех	5	4
175	что здесь	4	4
176	так называемой	3	4
177	в области	3	4
178	влияние на	3	4
179	так что	4	4
180	нас не	3	4
181	и к	3	4
182	что все	2	4
183	следующим образом	9	4
184	и действительно	2	4
185	в них	10	4
186	между двумя	2	4
