N	3gram	Losev_Dial	Narrotol
1	в том что	12	18
2	не только в	2	13
3	о том что	6	9
4	к тому же	2	9
5	в то же	7	8
6	той или иной	4	8
7	тем не менее	3	8
8	в этом отношении	2	8
9	то же время	8	8
10	не может быть	4	8
11	можно сказать что	6	6
12	с одной стороны	3	6
13	на самом деле	3	5
14	к тому что	3	4
15	во всяком случае	3	4
16	то же самое	3	3
17	точно так же	3	3
18	иметь в виду	4	3
19	в связи с	3	3
20	с точки зрения	18	3
21	в самом деле	3	3
22	до сих пор	4	3
23	в зависимости от	2	3
24	на то что	4	3
25	одно и то	8	2
26	ни о чем	2	2
27	и то же	8	2
28	в таком случае	2	2
29	но все же	2	2
30	более или менее	5	2
31	не в том	2	2
32	можно было бы	4	2
33	что иное как	4	2
34	в себе самом	2	2
35	в том смысле	4	2
36	и т п	3	2
37	только потому что	4	2
38	в силу своей	2	2
39	времени и пространства	2	2
40	сами по себе	4	2
41	и в то	3	2
42	с той или	2	2
43	что это за	3	2
44	на первый взгляд	2	2
45	бы и не	2	2
46	в той или	3	2
