N	2gram	Voloshinov	Tragedij
1	и в	16	18
2	в этом	9	9
3	не только	7	8
4	и не	4	7
5	и на	4	7
6	как бы	5	7
7	и с	8	7
8	может быть	17	7
9	что он	2	6
10	но в	4	6
11	и его	8	6
12	у него	2	6
13	что это	2	5
14	то же	2	5
15	как и	2	5
16	так и	4	5
17	не может	8	5
18	что в	3	4
19	еще не	5	4
20	но и	4	4
21	прежде всего	9	4
22	том что	3	4
23	в этой	4	4
24	так же	2	4
25	и все	4	4
26	все это	4	4
27	в нем	4	4
28	то что	3	4
29	но это	2	4
30	и даже	4	4
31	один из	2	3
32	и как	3	3
33	при этом	6	3
34	в его	4	3
35	все эти	5	3
36	отнюдь не	4	3
37	в основном	3	3
38	с ее	4	3
39	как это	3	3
40	для него	6	3
41	с ним	2	3
42	никогда не	2	2
43	в самом	2	2
44	в душе	2	2
45	в одном	3	2
46	его в	4	2
47	не могут	2	2
48	о том	2	2
49	что и	2	2
50	ни в	5	2
51	в частности	2	2
52	он не	2	2
53	и ее	4	2
54	и это	6	2
55	ребенка и	3	2
56	если б	3	2
57	в том	3	2
58	ненависть к	2	2
59	с его	7	2
60	во сне	2	2
61	отношение к	5	2
