N	3gram	Vinokur_St	Vladivir
1	в том что	29	29
2	о том что	19	22
3	тем не менее	4	18
4	что же касается	3	14
5	и то что	2	14
6	в то время	2	13
7	в письме к	5	13
8	дело в том	7	13
9	во всяком случае	8	12
10	более или менее	2	11
11	в конце концов	2	11
12	к тому же	2	11
13	в то же	5	10
14	с точки зрения	10	10
15	не может быть	5	10
16	вместе с тем	2	10
17	то же время	5	9
18	на этот раз	2	9
19	то что он	3	9
20	в этом смысле	2	9
21	а также и	2	8
22	на то что	5	8
23	в свое время	3	7
24	в это время	3	7
25	точно так же	2	7
26	том что он	6	6
27	в данном случае	7	6
28	том что в	4	6
29	в настоящее время	2	6
30	с другой стороны	8	6
31	и в этом	4	6
32	так или иначе	3	6
33	бы то ни	2	5
34	не говоря уже	2	5
35	не только в	4	5
36	что и в	4	5
37	то что в	3	5
38	и в том	3	5
39	он не только	2	5
40	по крайней мере	2	4
41	на эту тему	4	4
42	говоря уже о	2	4
43	в этом отношении	13	4
44	в том же	3	4
45	можно было бы	8	4
46	заключается в том	4	4
47	с одной стороны	2	4
48	для того чтобы	13	4
49	сказать что в	3	4
50	и т д	25	4
51	что он не	5	3
52	с самого начала	3	3
53	иметь в виду	2	3
54	в первую очередь	2	3
55	ничего общего с	3	3
56	в том числе	3	3
57	в котором он	2	3
58	в самом деле	7	3
59	только в том	3	3
60	что в своем	3	3
61	у нас нет	7	3
62	не только не	2	3
63	по этому поводу	4	3
64	к тому что	4	3
65	не в том	3	3
66	хотя бы и	2	3
67	тем более что	2	3
68	за то что	5	2
69	если бы мы	2	2
70	то обстоятельство что	3	2
71	после того как	5	2
72	но и здесь	2	2
73	так и в	5	2
74	не имеет ничего	2	2
75	может быть и	2	2
76	но в то	2	2
77	так же как	5	2
78	имеет ничего общего	2	2
79	свидетельствуют о том	2	2
80	до сих пор	12	2
81	так как в	2	2
82	что в нем	2	2
83	да и в	3	2
84	то что у	2	2
85	в этой области	5	2
86	в этом случае	3	2
87	уже о том	2	2
88	обращает на себя	2	2
