N	2gram	Kanaev_Sov	RusskieA
1	и в	7	79
2	в том	4	64
3	что в	2	57
4	не только	4	41
5	так как	4	34
6	в этом	7	33
7	как бы	4	31
8	в и	2	30
9	как и	6	28
10	может быть	12	28
11	одна из	3	24
12	при этом	3	22
13	это не	4	20
14	как мы	2	20
15	а в	4	20
16	из них	4	19
17	все это	3	18
18	таким образом	11	17
19	вместе с	4	17
20	мы не	9	16
21	у нас	3	14
22	мы видели	4	14
23	для нас	3	14
24	не менее	2	14
25	тем не	2	14
26	и не	6	14
27	и что	2	14
28	и по	2	13
29	не может	17	13
30	еще не	3	13
31	уже не	2	13
32	в некоторых	2	13
33	в виде	2	12
34	между собой	3	12
35	а на	2	11
36	следующим образом	3	11
37	все же	3	10
38	но в	3	9
39	и все	3	9
40	то же	3	9
41	их в	4	8
42	что это	2	8
43	мы должны	4	7
44	ничего не	6	7
45	в настоящее	2	7
46	не в	3	7
47	настоящее время	2	7
48	было бы	3	7
49	из этих	2	7
50	не можем	7	7
51	а не	3	7
52	в этой	3	6
53	не будем	2	6
54	на этом	2	6
55	в нем	3	6
56	все эти	5	6
57	в одном	3	6
58	что она	3	6
59	и пр	2	6
60	видели что	3	6
61	приводит к	2	6
62	в таком	2	6
63	вопрос о	4	5
64	и потому	3	5
65	или же	2	5
66	прежде всего	5	5
67	в свою	2	5
68	с этим	2	5
69	в целом	4	5
70	тот же	2	5
71	в его	2	5
72	то и	2	5
73	такие же	2	5
74	и к	3	5
75	отнюдь не	3	5
76	на две	3	4
77	отличие от	2	4
78	могут быть	2	4
79	во всяком	2	4
80	такой же	2	4
81	в отличие	2	4
82	но все	2	4
83	уже в	3	4
84	всяком случае	2	4
85	на этой	3	4
86	как он	3	3
87	мы знаем	2	3
88	что все	2	3
89	точки зрения	12	3
90	в области	3	3
91	и во	2	3
92	свою очередь	2	3
93	нет и	4	3
94	ее на	2	3
95	в которой	2	3
96	с одной	2	3
97	на этот	2	3
98	из которых	2	3
99	можно назвать	2	3
100	с точки	5	3
101	быть и	2	3
102	в себе	3	2
103	в развитии	4	2
104	в конце	3	2
105	и наконец	5	2
106	он должен	2	2
107	самом деле	2	2
108	в один	2	2
109	может иметь	2	2
110	но мы	3	2
111	с другом	2	2
112	ни одна	2	2
113	не дает	2	2
114	мы видим	2	2
115	в дальнейшем	4	2
116	значение в	2	2
117	так называемых	3	2
118	некоторое время	2	2
119	когда мы	3	2
120	в каждом	8	2
121	и даже	2	2
122	мы можем	6	2
123	друг с	2	2
124	совершенно не	2	2
125	как известно	2	2
126	носит название	2	2
127	только одну	2	2
128	что такое	2	2
129	говорить о	2	2
130	у него	2	2
131	в нашем	2	2
132	что при	2	2
133	из одного	2	2
